Quarterperiodend,metro_restofstate,postcode,1BR_flats_count,1BR_flats_median$,2BR_flats_count,2BR_flats_median$,3BR_flats_count,3BR_flats_median$,4+BR_flats_count,4+BR_flats_median$,flats_unknown_count,flats_unknown_median$,total_flats_count,total_flats_median$,1BR_houses_count,1BR_houses_median$,2BR_houses_count,2BR_houses_median$,3BR_houses_count,3BR_houses_median$,4+BR_houses_count,4+BR_houses_median$,houses_unknown_count,houses_unknown_median$,total_houses_count,total_houses_median$,total_other_count,total_other_median$,total_all_count,total_all_median$
2014-09,Metro,5000,281,290,192,430,31,450,*,175,277,250,785,290,12,297.5,39,400,30,500,*,330,26,395,110,400,49,190,940,295
2014-09,Metro,5006,23,275,59,350,11,475,0,,25,350,120,340,*,325,14,442.5,20,525,*,750,17,475,60,485,*,205,180,370
2014-09,Metro,5007,*,270,26,365,13,400,0,,18,332.5,60,370,*,150,20,322.5,27,380,*,520,24,355,80,360,6,160,145,360
2014-09,Metro,5008,0,,23,255,*,377.5,*,480,*,201.25,30,260,*,120,12,347.5,44,350,6,410,31,290,95,350,*,167.5,125,320
2014-09,Metro,5009,*,200,*,290,*,310,0,,*,257.5,15,295,0,,*,297.5,11,340,*,550,9,330,25,320,0,,40,310
2014-09,Metro,5010,*,260,*,240,*,195.5,0,,*,275,10,250,0,,*,317.5,11,350,*,410,*,340,20,345,0,,30,322.5
2014-09,Metro,5011,0,,22,270,9,360,0,,35,280,65,287.5,0,,23,330,36,377.5,*,380,24,360,90,362.5,0,,155,336
2014-09,Metro,5012,*,160,16,255,8,325,0,,10,250,35,270,0,,8,282.5,21,350,*,375,31,295,65,320,*,165,100,295
2014-09,Metro,5013,0,,18,230,*,320,0,,14,220,35,230,*,140,6,285,22,315,*,370,18,300,50,300,0,,80,275
2014-09,Metro,5014,*,190,19,250,*,250,0,,*,220,30,245,*,150,9,330,32,350,*,287.5,12,252.5,60,330,0,,90,297.5
2014-09,Metro,5015,16,280,13,300,*,475,0,,9,300,40,285,*,280,9,320,22,360,0,,12,300,50,320,0,,90,300
2014-09,Metro,5016,*,220,12,267.5,0,,0,,*,300,20,267.5,*,195,9,248,19,365,*,530,24,300,60,324,0,,75,304
2014-09,Metro,5017,*,220,*,245,0,,0,,*,110,*,220,0,,*,236.75,17,350,*,348,10,265,35,332.5,0,,40,290
2014-09,Metro,5018,0,,*,300,*,330,0,,*,300,10,300,0,,0,,8,370,*,490,*,362.5,15,390,0,,20,330
2014-09,Metro,5019,*,200,31,270,7,340,*,330,10,280,50,277.5,0,,*,300,17,350,*,500,10,350,35,355,0,,90,300
2014-09,Metro,5020,0,,0,,*,340,*,325,0,,*,332.5,0,,*,340,*,495,*,605,7,275,15,360,0,,15,350
2014-09,Metro,5021,0,,7,360,11,420,0,,*,310,20,370,0,,*,300,8,435,6,542.5,*,570,20,455,0,,45,425
2014-09,Metro,5022,*,225,55,285,*,550,0,,23,280,90,285,*,270,*,350,37,450,16,600,17,450,75,455,0,,160,352.5
2014-09,Metro,5023,0,,29,266,12,375,*,550,9,260,50,280,*,119,8,302.5,50,355,7,425,31,290,95,330,0,,150,320
2014-09,Metro,5024,6,175,39,250,9,345,*,350,13,260,70,270,*,190,0,,22,392.5,*,420,9,410,35,395,0,,105,300
2014-09,Metro,5025,0,,*,350,*,380,0,,*,180,10,340,0,,*,300,17,390,6,560,12,350,40,370,0,,50,360
2014-09,Metro,5031,*,200,19,275,*,415,*,187.5,7,255,35,270,*,154,14,335,32,400,7,450,35,330,95,360,9,175,135,320
2014-09,Metro,5032,6,220,39,255,8,365,0,,13,230,65,250,0,,*,350,36,362.5,7,460,27,330,75,360,*,166.25,140,295
2014-09,Metro,5033,6,161,33,270,*,355,*,282,12,267.5,55,270,*,222.5,12,300,27,370,7,395,15,380,65,350,*,137.5,120,300
2014-09,Metro,5034,7,250,39,285,11,330,0,,17,305,75,290,0,,8,400,19,480,6,452.5,23,400,55,430,10,150,140,320
2014-09,Metro,5035,*,225,30,270,*,292.5,0,,13,250,50,262.5,*,240,8,355,6,405,*,490,17,370,35,370,0,,85,290
2014-09,Metro,5037,9,240,42,255,*,340,0,,13,126.7,65,250,*,192.5,*,320,20,410,*,365,13,350,45,375,0,,110,285
2014-09,Metro,5038,16,220,44,277.5,9,350,0,,29,225,100,260,*,185,16,322.5,53,360,*,397.5,27,350,100,350,7,128,205,300
2014-09,Metro,5039,*,240,8,285,*,305,0,,12,267.5,25,270,0,,6,320,25,370,*,430,24,350,60,350,0,,85,332.5
2014-09,Metro,5040,0,,0,,0,,0,,0,,0,,0,,*,280,*,450,0,,*,430,*,425,0,,*,425
2014-09,Metro,5041,*,250,32,270,0,,0,,7,275,45,270,*,170,*,340,16,380,7,540,12,375,40,395,0,,85,297.5
2014-09,Metro,5042,*,235,30,262.5,7,300,0,,20,237.5,60,260,*,460,*,320,31,350,*,420,15,330,55,350,*,140,115,300
