Quarterperiodend,metro_restofstate,postcode,1BR_flats_count,1BR_flats_median$,2BR_flats_count,2BR_flats_median$,3BR_flats_count,3BR_flats_median$,4+BR_flats_count,4+BR_flats_median$,flats_unknown_count,flats_unknown_median$,total_flats_count,total_flats_median$,1BR_houses_count,1BR_houses_median$,2BR_houses_count,2BR_houses_median$,3BR_houses_count,3BR_houses_median$,4+BR_houses_count,4+BR_houses_median$,houses_unknown_count,houses_unknown_median$,total_houses_count,total_houses_median$,total_other_count,total_other_median$,total_all_count,total_all_median$
2015-09,Metro,5000,286,290,292,430,69,410,*,420,238,270,885,335,18,260,40,412.5,41,475,*,595,29,350,135,400,35,185,1055,345
2015-09,Metro,5006,26,280,62,327.5,9,480,0,,18,352.5,115,330,7,207,19,440,16,595,6,550,9,500,55,475,0,,170,360
2015-09,Metro,5007,19,250,27,320,11,410,*,165,17,380,75,300,7,150,23,350,31,400,6,437.5,24,297.5,90,350,7,190,175,325
2015-09,Metro,5008,*,177.5,28,257.5,7,345,*,490,13,250,50,255,*,160,17,290,42,350,*,450,27,300,90,330,7,150,150,292.5
2015-09,Metro,5009,*,210,*,310,0,,0,,*,250,10,260,0,,*,282.5,9,350,0,,13,340,25,315,0,,35,310
2015-09,Metro,5010,*,155,*,250,*,340,0,,*,235,10,250,0,,*,270,14,370,*,380,*,350,20,365,0,,35,340
2015-09,Metro,5011,8,280,53,295,13,336,*,336,12,322.5,85,315,*,200,26,330,48,390,7,430,16,387.5,100,370,9,120.5,195,330
2015-09,Metro,5012,*,171,37,250,6,352.5,*,360,15,244,60,250,0,,8,183.925,34,330,*,390,26,290,70,300,6,152.5,140,285
2015-09,Metro,5013,*,190,17,260,*,230,0,,9,250,30,250,0,,9,240,27,320,*,362.5,13,250.5,50,320,0,,80,280
2015-09,Metro,5014,6,200,20,237.5,*,270,0,,11,210,40,220,*,190,12,315,31,350,9,375,9,350,65,340,0,,105,310
2015-09,Metro,5015,20,280,26,327.5,0,,0,,9,250,55,285,*,240,8,320,23,370,*,425,10,347.5,45,360,0,,100,320
2015-09,Metro,5016,*,205,11,260,*,290,0,,6,215,25,250,0,,7,265,29,395,*,450,9,301,45,370,0,,70,302.5
2015-09,Metro,5017,0,,*,220,*,250,0,,0,,5,235,0,,*,280,26,300,*,284.5,13,275,45,290,0,,50,284.5
2015-09,Metro,5018,0,,9,310,*,330,0,,0,,10,317.5,0,,0,,10,375,6,472.5,*,380,20,380,0,,30,370
2015-09,Metro,5019,*,237.5,42,262.5,6,375,0,,9,275,60,265,*,130,9,310,24,375,6,497.5,7,330,50,360,0,,110,300
2015-09,Metro,5020,0,,*,342.5,*,350,0,,*,342.5,5,350,0,,*,420,0,,*,645,0,,*,532.5,0,,10,355
2015-09,Metro,5021,0,,8,350,*,420,0,,*,355,15,355,0,,9,295,8,442.5,*,660,*,510,25,410,0,,35,397.5
2015-09,Metro,5022,9,200,77,310,8,537.5,0,,15,285,110,300,0,,*,360,38,420,9,670,14,510,65,430,*,165,175,360
2015-09,Metro,5023,*,245,39,260,19,380,*,480,15,280,75,275,0,,9,300,61,380,6,325,33,300,110,350,0,,185,330
2015-09,Metro,5024,7,190,44,277.5,7,390,0,,12,280,70,282.5,0,,*,320,31,385,12,485,13,350,60,390,0,,130,320
2015-09,Metro,5025,*,140,6,347.5,*,320,0,,8,320,20,320,0,,*,280,24,385,*,485,9,200,40,365,0,,60,347.5
2015-09,Metro,5031,*,208.5,22,260,*,385,0,,8,267.5,35,262.5,18,184.5,21,330,43,400,19,182,17,350,120,365,0,,155,330
2015-09,Metro,5032,*,240,50,265,6,397.5,0,,14,275,75,270,*,174.5,10,317.5,28,400,11,185,13,360,65,382.5,0,,140,300
2015-09,Metro,5033,*,168,34,255,*,310,0,,14,265,55,252.5,*,285,9,350,40,365,*,437.5,22,245,75,350,0,,130,297.5
2015-09,Metro,5034,11,230,41,305,17,475,0,,9,300,80,305,*,173.5,13,385,20,515,7,770,7,495,50,440,*,157.5,130,340
2015-09,Metro,5035,6,215,46,290,*,280,0,,9,275,65,280,0,,*,370,16,480,*,630,*,500,30,440,0,,95,300
2015-09,Metro,5037,12,235,40,277.5,11,380,0,,15,240,80,267.5,*,220,7,350,26,400,6,397.5,15,360,55,380,10,172.5,145,310
2015-09,Metro,5038,21,235,77,275,9,330,*,230,25,260,135,265,*,240,19,320,58,390,7,500,18,335,105,365.5,11,150,250,295
2015-09,Metro,5039,0,,20,277.5,6,325,0,,10,237.5,35,275,*,240,12,335,35,375,*,415,12,194.2,60,350,*,150,100,325
2015-09,Metro,5040,0,,0,,0,,0,,0,,0,,0,,0,,*,380,0,,0,,*,380,0,,*,380
2015-09,Metro,5041,7,250,29,270,*,347.5,0,,*,230,45,265,*,200,7,300,24,400,11,465,*,230,50,400,0,,90,300
2015-09,Metro,5042,*,220,38,262.5,8,330,0,,19,265,70,270,*,156.35,*,320,36,350,6,435,22,372.5,70,355,*,162.5,140,310
2015-09,Metro,5043,7,160,42,280,20,322.5,*,330,20,210.5,90,280,*,150,15,290,93,380,*,390,37,340,155,360,0,,245,330
2015-09,Metro,5044,11,240,41,300,8,360,*,600,9,295,70,300,0,,7,330,28,440,9,550,6,440,50,447.5,0,,120,330
2015-09,Metro,5045,60,262.5,119,310,43,490,0,,42,297.5,265,310,*,330,11,350,38,452.5,13,550,18,450,85,450,0,,350,340
2015-09,Metro,5046,*,220,26,297.5,*,395,0,,10,160,45,285,0,,15,380,37,420,*,440,14,412.5,70,410,*,165,115,370
2015-09,Metro,5047,*,220,*,340,6,360,0,,*,215,20,340,*,250,*,320,55,395,*,370,12,342.5,75,380,*,240,95,370
2015-09,Metro,5048,9,210,31,280,12,400,0,,14,215,65,282.5,0,,7,340,39,400,12,505,17,450,75,400,0,,140,350
2015-09,Metro,5049,*,130,21,270,*,407.5,0,,10,260,35,270,0,,6,265,30,405,10,535,15,400,60,410,0,,95,380
2015-09,Metro,5050,*,240,0,,0,,0,,0,,*,240,0,,*,305,10,390,7,440,*,450,20,392.5,0,,20,390
2015-09,Metro,5051,*,160,*,290,0,,0,,*,0,10,270,*,225,*,357.5,14,400,11,520,6,405,35,420,0,,45,395
