Quarterperiodend,metro_restofstate,postcode,1BR_flats_count,1BR_flats_median$,2BR_flats_count,2BR_flats_median$,3BR_flats_count,3BR_flats_median$,4+BR_flats_count,4+BR_flats_median$,flats_unknown_count,flats_unknown_median$,total_flats_count,total_flats_median$,1BR_houses_count,1BR_houses_median$,2BR_houses_count,2BR_houses_median$,3BR_houses_count,3BR_houses_median$,4+BR_houses_count,4+BR_houses_median$,houses_unknown_count,houses_unknown_median$,total_houses_count,total_houses_median$,total_other_count,total_other_median$,total_all_count,total_all_median$
2015-03,Metro,5000,278,288,226,420,103,180,*,177.5,293,250,900,295,8,320,35,420,36,450,6,412.5,39,420,125,425,7,190,1035,318
2015-03,Metro,5006,25,280,59,350,19,460,0,,33,340,135,340,*,227.5,15,455,38,405,*,612.5,26,455,85,430,*,550,220,382.5
2015-03,Metro,5007,*,310,26,327.5,14,415,0,,14,370,55,375,*,357.5,19,360,43,410,7,450,34,377.5,105,385,*,160,165,380
2015-03,Metro,5008,*,200,18,255,6,350,0,,15,245,40,260,*,110,6,305,47,360,9,420,27,340,90,350,0,,130,332
2015-03,Metro,5009,0,,7,280,0,,0,,0,,5,280,0,,6,297.5,12,355,*,400,9,330,30,327.5,0,,35,320
2015-03,Metro,5010,0,,*,265,0,,0,,*,240,5,250,0,,*,300,12,350,*,382.5,*,345,15,350,0,,25,340
2015-03,Metro,5011,*,225,38,270,14,387.5,*,280,16,322.5,70,295,0,,8,315,31,380,6,525,25,385,70,380,10,132.5,150,330
2015-03,Metro,5012,0,,21,255,9,375,0,,24,187.3,55,245,0,,*,280,21,345,*,392.5,28,280,55,320,0,,110,270
2015-03,Metro,5013,*,240,12,240,0,,0,,9,230,20,240,*,290,*,285,18,320,*,330,21,320,50,320,*,160,70,290
2015-03,Metro,5014,8,190,14,282.5,0,,0,,12,262.5,35,247.5,*,277.5,9,310,33,340,*,400,12,305,60,330,0,,95,310
2015-03,Metro,5015,26,295,23,360,*,430,0,,10,307.5,60,300,*,250,8,350,23,395,*,437.5,21,360,55,385,0,,120,337.5
2015-03,Metro,5016,*,220,11,260,*,275,0,,7,290,20,277.5,*,270,14,300,22,372.5,8,208.5,24,387.5,70,350,0,,90,340
2015-03,Metro,5017,0,,0,,*,285,0,,0,,*,285,0,,*,250,14,330,*,405,18,285,35,320,0,,35,315
2015-03,Metro,5018,0,,*,300,*,287.5,0,,*,300,10,300,0,,*,320,14,350,0,,*,415,20,347.5,0,,30,330
2015-03,Metro,5019,*,227.5,31,285,9,340,0,,17,270,60,280,*,275,*,332.5,27,400,*,485,22,370,55,380,0,,115,325
2015-03,Metro,5020,0,,*,315,*,352.5,0,,*,375,10,350,*,200,*,295,9,420,*,575,*,510,15,415,0,,25,365
2015-03,Metro,5021,0,,8,342.5,6,430,0,,*,350,20,360,0,,7,310,9,450,*,602.5,*,395,25,435,0,,45,380
2015-03,Metro,5022,*,322.5,48,295,10,410,0,,34,295,95,300,*,280,8,325,28,450,12,605,18,455,70,450,0,,165,350
2015-03,Metro,5023,*,220,40,265,16,377.5,0,,15,295,75,290,0,,*,290,31,350,*,450,29,360,65,360,0,,140,330
2015-03,Metro,5024,*,237.5,49,300,*,390,0,,16,282.5,75,295,0,,*,322.5,26,425,8,522.5,9,390,45,400,0,,120,320
