Quarterperiodend,metro_restofstate,postcode,1BR_flats_count,1BR_flats_median$,2BR_flats_count,2BR_flats_median$,3BR_flats_count,3BR_flats_median$,4+BR_flats_count,4+BR_flats_median$,flats_unknown_count,flats_unknown_median$,total_flats_count,total_flats_median$,1BR_houses_count,1BR_houses_median$,2BR_houses_count,2BR_houses_median$,3BR_houses_count,3BR_houses_median$,4+BR_houses_count,4+BR_houses_median$,houses_unknown_count,houses_unknown_median$,total_houses_count,total_houses_median$,total_other_count,total_other_median$,total_all_count,total_all_median$
2017-03,Metro,5000,714,295,365,450,114,412.5,*,712.5,25,450,1220,330,28,157,57,440,47,480,6,322.5,7,360,145,400,25,190,1390,340
2017-03,Metro,5001,0,,0,,0,,0,,0,,0,,0,,0,,*,400,0,,0,,*,400,0,,*,400
2017-03,Metro,5006,44,290,83,360,16,450,*,320,6,340,150,350,*,425,19,480,36,505,*,690,*,260,65,485,0,,215,390
2017-03,Metro,5007,15,300,44,390,31,435,*,360,*,223.7,95,382.5,*,280,20,335,57,400,10,450,11,160,100,385,*,135,200,380
2017-03,Metro,5008,*,180,31,275,10,325,0,,9,265,55,280,*,145,15,295,94,397.5,31,170,19,330,165,350,*,145,220,320
2017-03,Metro,5009,0,,*,310,*,380,0,,*,250,5,310,0,,*,325,21,345,*,445,6,290,30,342.5,0,,40,330
2017-03,Metro,5010,0,,*,250,*,310,0,,*,160,10,245,*,120,*,370,24,352.5,*,380,*,300,35,350,0,,45,335
2017-03,Metro,5011,6,252.5,60,295,15,390,*,495,12,260,95,297.5,0,,15,345,55,385,*,435,13,330,85,365,7,217.45,190,340
2017-03,Metro,5012,*,365,31,255,27,340,0,,*,240,60,282.5,0,,7,280,39,360,8,350,16,230.44,70,340,*,157.5,135,312.5
2017-03,Metro,5013,*,295,12,240,*,224.25,0,,10,250,30,245,*,155,12,295,35,330,6,395,6,310,60,320,*,155,90,295
2017-03,Metro,5014,*,215,31,255,*,410,0,,7,230,45,255,*,230,10,325,48,350,*,440,9,290,75,345,*,170,120,310
2017-03,Metro,5015,33,300,34,330,*,387.5,*,300,*,260,75,310,*,280,10,342.5,40,380,*,600,*,260,60,370,0,,130,330
2017-03,Metro,5016,10,185,20,270,*,327.5,0,,*,280,35,260,0,,8,312.5,33,370,*,412.5,0,,45,365,0,,80,317.5
2017-03,Metro,5017,0,,*,242.5,0,,0,,0,,*,242.5,0,,*,167.4,29,310,*,480,*,260,35,300,0,,35,300
2017-03,Metro,5018,0,,6,330,*,387.5,0,,0,,10,337.5,0,,*,330,20,400,*,440,0,,25,400,0,,35,390
2017-03,Metro,5019,*,275,37,279,6,410,*,600,*,290,55,280,0,,10,330,34,357.5,*,485,*,242.5,50,355,0,,105,320
2017-03,Metro,5020,0,,*,350,*,315,*,350,0,,5,350,0,,*,350,10,405,*,620,0,,10,405,0,,20,360
2017-03,Metro,5021,0,,13,360,8,420,0,,*,360,20,390,0,,8,287.5,*,450,*,660,*,525,20,400,0,,40,400
2017-03,Metro,5022,8,248.35,93,300,18,430,0,,9,255,130,300,*,245,6,355,39,430,18,550,*,340,70,450,0,,195,350
2017-03,Metro,5023,7,235,43,250,17,370,*,420,12,270,80,265,*,178.5,10,360,67,380,6,487.5,10,370,95,380,0,,175,340
2017-03,Metro,5024,6,217.5,69,275,*,390,*,680,6,300,90,280,0,,*,390,29,420,12,510,*,410,50,420,*,185,140,320
2017-03,Metro,5025,0,,*,267.5,*,347.5,*,465,*,280,10,302.5,0,,6,317.5,36,402.5,11,475,8,365,60,410,0,,70,380
