Quarterperiodend,metro_restofstate,postcode,1BR_flats_count,1BR_flats_median$,2BR_flats_count,2BR_flats_median$,3BR_flats_count,3BR_flats_median$,4+BR_flats_count,4+BR_flats_median$,flats_unknown_count,flats_unknown_median$,total_flats_count,total_flats_median$,1BR_houses_count,1BR_houses_median$,2BR_houses_count,2BR_houses_median$,3BR_houses_count,3BR_houses_median$,4+BR_houses_count,4+BR_houses_median$,houses_unknown_count,houses_unknown_median$,total_houses_count,total_houses_median$,total_other_count,total_other_median$,total_all_count,total_all_median$
2012-09,Metro,5000,174,275,186,400,36,498,*,550,108,329.5,505,340,14,265,41,400,15,470,*,700,31,430,100,410,55,195,665,340
2012-09,Metro,5006,17,295,31,330,6,380,*,430,26,365,80,340,*,345,11,365,16,492.5,*,650,14,407.5,50,440,0,,130,365
2012-09,Metro,5007,0,,8,277.5,*,360,0,,12,335,25,340,0,,18,345,18,355,*,350,17,330,60,350,0,,85,340
2012-09,Metro,5008,0,,22,240,*,350,0,,16,240,45,245,*,130,13,300,37,350,6,370,39,325,95,330,*,140,140,300
2012-09,Metro,5009,0,,*,277.5,0,,0,,*,220,*,275,*,140,6,277.5,16,335,0,,16,330,40,320,0,,45,315
2012-09,Metro,5010,*,210,*,275,0,,0,,*,220,*,220,0,,*,225,14,330,*,375,7,305,25,330,0,,30,302.5
2012-09,Metro,5011,*,230,19,260,8,382.5,0,,8,257.5,40,264,0,,*,325,29,350,*,425,19,330,55,350,11,165,105,297.5
2012-09,Metro,5012,*,90,15,230,*,320,*,400,14,186.35,35,240,0,,*,184,22,335,6,352.5,20,330,50,335,0,,90,300
2012-09,Metro,5013,*,177.5,18,230,*,260,0,,12,227.5,35,230,0,,6,225,21,305,*,340,32,260,60,290,0,,95,250
2012-09,Metro,5014,*,477.5,12,255,*,400,0,,11,240,25,250,*,200,8,300,32,312.5,*,370,16,325,65,325,0,,90,300
2012-09,Metro,5015,6,270,15,280,*,260,0,,24,285,45,277.5,*,200,*,317.5,19,360,*,392.5,22,337.5,50,340,0,,95,310
2012-09,Metro,5016,*,175,15,265,*,315,0,,*,285,20,272.5,0,,*,285,12,350,*,360,7,350,25,350,0,,45,300
2012-09,Metro,5017,0,,*,280,0,,0,,*,235,*,260,0,,*,220,11,280,*,400,16,327.5,35,280,0,,35,280
2012-09,Metro,5018,0,,*,290,*,315,0,,*,317.5,15,300,0,,*,290,16,360,*,475,10,350,30,360,0,,45,350
2012-09,Metro,5019,*,245,25,265,*,487.5,*,440,17,270,50,270,*,225,*,198.45,20,352.5,*,425,13,280,40,345,0,,95,290
2012-09,Metro,5020,0,,*,300,*,335,0,,*,325,5,320,0,,0,,*,440,*,395,*,415,10,417.5,0,,15,375
2012-09,Metro,5021,0,,*,380,*,380,*,310,*,450,10,380,0,,10,297.5,6,410,6,520,8,365,30,345,0,,40,360
2012-09,Metro,5022,*,185,66,280,9,575,*,450,12,267.5,90,280,*,335,8,335,47,405,12,625,15,450,85,420,0,,175,337.5
2012-09,Metro,5023,*,180,42,252.5,6,380,0,,26,230,80,250,*,157.5,*,290,49,345,*,400,22,305,85,330,0,,160,290
2012-09,Metro,5024,*,210,40,265,*,390,0,,16,255,65,260,*,265,*,350,30,365,7,460,12,350,55,365,0,,120,297.5
2012-09,Metro,5025,*,230,8,345,*,360,0,,6,220,15,340,0,,*,300,21,350,*,512.5,10,300,35,345,0,,50,340
2012-09,Metro,5031,*,225,21,255,*,375,0,,13,230,40,252.5,*,240,20,330,36,387.5,7,430,30,352.5,95,360,*,190,135,335
2012-09,Metro,5032,11,200,46,250,6,340,*,480,25,240,90,250,*,200,*,295,25,380,7,475,14,392.5,50,380,0,,140,285
2012-09,Metro,5033,*,217.5,22,240,*,320,0,,10,232.5,40,240,0,,8,310,24,332.5,*,375,10,365,45,337.5,0,,80,290
2012-09,Metro,5034,9,210,25,290,6,405,0,,15,280,55,280,*,200,13,400,16,425,*,480,12,377.5,45,405,0,,100,330
2012-09,Metro,5035,9,185,25,270,*,350,0,,20,270,55,270,0,,*,350,9,410,*,510,7,370,20,395,0,,80,280
2012-09,Metro,5037,16,212.5,24,250,*,340,*,275,10,260,55,242.5,*,230,7,270,17,340,*,460,15,175,45,330,0,,100,265
2012-09,Metro,5038,7,210,42,260,*,330,0,,35,260,90,260,*,195,11,300,23,380,*,400,13,350,50,350,7,157,150,282.5
2012-09,Metro,5039,*,205,16,267.5,*,330,0,,9,250,30,257.5,0,,*,390,21,365,*,277.5,22,360,50,360,0,,80,325
2012-09,Metro,5040,0,,0,,0,,0,,*,300,*,300,0,,0,,*,390,*,500,0,,*,470,0,,*,390
2012-09,Metro,5041,6,207.5,18,255,*,295,0,,11,260,35,250,*,225,*,350,15,380,9,440,13,330,45,360,0,,80,295
2012-09,Metro,5042,*,192.5,33,245,*,310,0,,20,245,60,250,*,160,6,292.5,21,330,6,445,21,320,55,320,*,210,115,285
2012-09,Metro,5043,*,110,35,275,15,295,0,,37,260,90,270,0,,10,255,54,350,11,450,28,330,105,340,*,170,195,295
2012-09,Metro,5044,*,210,27,295,7,320,0,,11,280,50,287.5,0,,*,305,17,400,6,445,*,380,30,400,0,,80,310
2012-09,Metro,5045,54,260,113,300,34,455,*,475,49,290,255,300,*,190,9,330,40,440,10,655,22,392.5,85,420,*,700,340,330
2012-09,Metro,5046,*,197.5,18,265,*,390,0,,14,280,40,280,0,,*,280,38,377.5,*,490,20,305,65,365,0,,105,320
2012-09,Metro,5047,0,,6,290,7,350,0,,6,197.5,20,310,0,,6,272,41,360,*,340,17,360,65,360,0,,85,350
2012-09,Metro,5048,*,200,34,282.5,7,340,0,,15,290,60,285,0,,8,312.5,35,375,*,550,17,370,65,375,0,,125,330
2012-09,Metro,5049,*,290,13,300,*,377.5,0,,8,245,25,272.5,0,,*,345,14,380,14,352.5,19,380,50,367.5,0,,70,350
2012-09,Metro,5050,*,200,*,250,*,310,0,,0,,*,250,*,200,*,360,6,375,*,400,*,280,20,360,0,,25,320
2012-09,Metro,5051,0,,*,230,*,325,0,,*,260,5,260,*,200,*,335,13,360,7,430,*,385,25,380,0,,35,355
2012-09,Metro,5052,*,160,0,,0,,0,,0,,*,160,0,,*,287.5,7,360,*,535,*,420,20,380,0,,20,370
2012-09,Metro,5061,7,225,27,285,7,370,0,,19,295,60,292.5,*,120,11,350,16,417.5,*,500,15,470,45,410,0,,105,330
2012-09,Metro,5062,*,210,21,265,0,,0,,21,270,45,265,*,240,9,350,17,375,6,500,15,390,50,375,0,,95,300
2012-09,Metro,5063,7,230,28,310,7,365,0,,20,310,60,310,*,270,16,385,21,460,*,620,14,467.5,55,425,0,,120,360
