Quarterperiodend,metro_restofstate,postcode,1BR_flats_count,1BR_flats_median$,2BR_flats_count,2BR_flats_median$,3BR_flats_count,3BR_flats_median$,4+BR_flats_count,4+BR_flats_median$,flats_unknown_count,flats_unknown_median$,total_flats_count,total_flats_median$,1BR_houses_count,1BR_houses_median$,2BR_houses_count,2BR_houses_median$,3BR_houses_count,3BR_houses_median$,4+BR_houses_count,4+BR_houses_median$,houses_unknown_count,houses_unknown_median$,total_houses_count,total_houses_median$,total_other_count,total_other_median$,total_all_count,total_all_median$
2015-12,Metro,5000,382,295,209,430,41,500,*,780,73,245,705,305,16,157,45,400,38,475,6,480,10,214.35,115,400,10,177.5,830,312
2015-12,Metro,5006,18,290,34,380,9,495,*,430,13,385,75,380,*,335,20,402.5,15,530,*,600,*,495,45,480,0,,120,400
2015-12,Metro,5007,9,175,38,360,16,440,*,155,15,190,80,360,*,142.5,16,345,32,392.5,*,505,28,283.75,80,350,7,186.8,170,350
2015-12,Metro,5008,*,150,26,250,*,315,0,,12,142.5,40,240,*,165,14,318,46,350,9,475,37,280,110,325,*,190,150,305
2015-12,Metro,5009,*,220,*,315,*,350,0,,*,175,10,320,*,255,*,290,14,362.5,*,520,11,340,35,340,0,,40,335
2015-12,Metro,5010,*,155,6,285,0,,0,,*,242.5,10,250,0,,*,285,23,350,*,350,*,312.5,35,330,0,,40,315
2015-12,Metro,5011,*,235,49,290,9,375,0,,12,237.5,75,290,*,410,15,330,46,360,*,420,11,320,80,352.5,*,184.9,155,325
2015-12,Metro,5012,6,182,24,256,8,355,0,,13,230,50,260,0,,*,272.5,24,350,*,390,27,188,60,320,0,,110,282.5
2015-12,Metro,5013,*,200,10,230,*,185.3,0,,*,250,20,220,*,185,6,315,19,320,*,367.5,11,300,40,312.5,*,150,65,290
2015-12,Metro,5014,*,220,18,257.5,*,275,0,,*,245,30,255,*,225,10,310,31,350,8,317.5,15,350,65,340,0,,95,312.5
2015-12,Metro,5015,25,300,23,330,*,430,0,,9,280,60,300,*,300,11,320,28,397.5,*,340,11,400,55,380,0,,120,332.5
2015-12,Metro,5016,*,182,13,280,*,385,0,,*,230,20,262.5,0,,10,275,25,375,10,532.5,*,340,50,360,0,,70,335
