Quarterperiodend,metro_restofstate,postcode,1BR_flats_count,1BR_flats_median$,2BR_flats_count,2BR_flats_median$,3BR_flats_count,3BR_flats_median$,4+BR_flats_count,4+BR_flats_median$,flats_unknown_count,flats_unknown_median$,total_flats_count,total_flats_median$,1BR_houses_count,1BR_houses_median$,2BR_houses_count,2BR_houses_median$,3BR_houses_count,3BR_houses_median$,4+BR_houses_count,4+BR_houses_median$,houses_unknown_count,houses_unknown_median$,total_houses_count,total_houses_median$,total_other_count,total_other_median$,total_all_count,total_all_median$
2013-09,Metro,5000,169,280,171,420,53,480,7,350,171,260,570,340,8,215,36,370,18,480,*,475,38,417.5,100,400,9,170,680,355
2013-09,Metro,5006,26,277.5,31,365,*,465,*,700,28,322.5,90,320,*,307.5,6,355,11,495,*,575,21,460,45,450,0,,135,352.5
2013-09,Metro,5007,*,100,13,290,16,410,0,,15,290,45,350,0,,7,350,23,385,*,370,20,382.5,50,375,*,160,100,360
2013-09,Metro,5008,0,,14,265,7,350,*,470,22,227.5,45,260,*,160,11,295,34,350,6,385,33,300,85,330,0,,130,300
2013-09,Metro,5009,*,200,*,290,*,300,0,,*,275,10,275,*,120,*,320,16,322.5,*,460,8,325.5,30,321,0,,40,320
2013-09,Metro,5010,*,150,*,260,*,390,0,,*,225,5,242.5,0,,*,290,16,330,0,,15,340,30,330,0,,40,325
2013-09,Metro,5011,*,200,19,260,*,330,0,,*,180,30,260,0,,6,375,25,350,6,165,14,335,50,340,*,181.3,85,290
2013-09,Metro,5012,*,143.65,14,240,12,360,*,400,10,263,40,270,0,,*,208,34,340,*,355,37,265,80,300,0,,115,290
2013-09,Metro,5013,*,185,11,230,*,215,0,,*,250,20,230,0,,*,203.3,13,310,*,390,27,280,45,290,0,,65,280
2013-09,Metro,5014,*,190,15,250,*,385,0,,10,227.5,30,245,*,140,11,295,19,320,*,360,23,290,55,300,0,,85,290
2013-09,Metro,5015,15,285,14,352.5,*,450,0,,20,280,50,295,*,265,8,317.5,12,350,*,410,9,270,35,330,0,,85,300
2013-09,Metro,5016,*,230,6,260,*,290,0,,7,260,15,260,0,,0,,15,330,*,390,12,317.5,30,350,0,,45,320
2013-09,Metro,5017,0,,*,199.5,0,,0,,*,145,*,159,*,280,*,147.5,13,340,*,343.2,12,277.5,35,306.4,0,,35,295
2013-09,Metro,5018,0,,*,295,0,,0,,*,340,10,325,0,,*,375,11,370,*,490,9,285,25,370,0,,35,360
2013-09,Metro,5019,*,175,26,262.5,*,395,0,,16,277.5,50,265,*,272.5,*,340,16,342.5,*,500,19,300,40,330,0,,90,282.5
2013-09,Metro,5020,*,235,*,320,*,295,0,,*,290,*,292.5,0,,*,315,*,385,0,,6,320,15,340,0,,15,320
2013-09,Metro,5021,0,,12,330,6,572.5,0,,*,375,20,365,*,600,*,395,*,510,*,700,8,470,20,510,0,,40,435
2013-09,Metro,5022,8,210,60,280,9,550,0,,12,325,90,280,*,280,7,320,35,420,16,715,13,430,75,440,0,,165,345
2013-09,Metro,5023,*,195,37,250,14,360,0,,29,255,80,262.5,*,150,7,295,38,340,*,360,29,300,80,330,0,,160,295
2013-09,Metro,5024,10,235,28,265,*,300,*,350,17,225,60,255,0,,*,332.5,25,400,10,420,17,385,55,392.5,0,,115,300
2013-09,Metro,5025,0,,8,247.5,*,430,0,,*,255,10,250,0,,*,280,22,380,*,450,11,340,45,365,0,,55,350
2013-09,Metro,5031,0,,31,280,*,375,*,375,27,255,65,280,*,140,13,330,27,350,*,325,33,330,75,350,7,167.5,145,310
2013-09,Metro,5032,*,230,44,252.5,7,345,0,,20,212.5,75,250,*,135,7,310,33,360,6,485,28,310,75,342.5,*,155,155,280
2013-09,Metro,5033,14,161,29,260,8,300,0,,27,142,80,202,0,,8,300,24,370,*,500,13,350,45,350,*,180.6,125,262.5
2013-09,Metro,5034,7,230,37,290,8,417.5,*,530,26,275,80,290,*,255,*,377.5,21,420,*,825,6,397.5,35,415,*,162.5,115,320
2013-09,Metro,5035,6,230,30,275,*,300,0,,14,250,55,270,0,,8,350,*,370,8,552.5,12,320,35,350,0,,85,290
2013-09,Metro,5037,11,220,37,250,*,330,0,,14,247.5,65,250,0,,*,350,14,400,*,360,13,365,30,380,0,,95,275
2013-09,Metro,5038,11,200,34,270,*,305,0,,38,257.5,90,260,*,270,17,310,34,370,*,415,26,325,80,350,*,130,175,300
2013-09,Metro,5039,*,230,16,262.5,*,360,0,,14,275,30,270,0,,*,320,20,365,*,500,33,320,55,330,0,,90,300
2013-09,Metro,5040,0,,0,,0,,0,,0,,0,,*,250,0,,6,389,*,400,*,520,10,390,0,,10,390
