Quarterperiodend,metro_restofstate,postcode,1BR_flats_count,1BR_flats_median$,2BR_flats_count,2BR_flats_median$,3BR_flats_count,3BR_flats_median$,4+BR_flats_count,4+BR_flats_median$,flats_unknown_count,flats_unknown_median$,total_flats_count,total_flats_median$,1BR_houses_count,1BR_houses_median$,2BR_houses_count,2BR_houses_median$,3BR_houses_count,3BR_houses_median$,4+BR_houses_count,4+BR_houses_median$,houses_unknown_count,houses_unknown_median$,total_houses_count,total_houses_median$,total_other_count,total_other_median$,total_all_count,total_all_median$
2016-09,Metro,5000,526,280,292,430,65,495,*,570,14,420,900,340,29,158,38,437.5,41,490,*,437.5,6,350,120,417.5,28,195,1045,342.5
2016-09,Metro,5006,18,300,56,350,15,480,*,650,*,280,95,350,9,209.8,16,397.5,32,580,*,712.5,*,550,65,470,*,175,155,400
2016-09,Metro,5007,18,250,50,360,17,395,*,150,13,180,100,335,*,295,17,320,33,420,6,420,13,230,70,365,9,170,180,350
2016-09,Metro,5008,*,189,27,250,11,360,0,,11,142.5,50,245,*,145,13,310,53,370,27,155,19,315,115,340,*,155,170,297.5
2016-09,Metro,5009,*,212.5,9,280,*,325.4,0,,*,250,15,280,0,,7,330,28,372.5,*,450,6,195,45,362.5,0,,60,350
2016-09,Metro,5010,0,,7,250,*,320,0,,6,247.5,15,255,*,120,*,270,19,350,*,410,*,350,30,345,0,,45,310
2016-09,Metro,5011,8,272.5,49,315,20,390,*,485,*,270,80,320,0,,17,315,47,370,6,422.5,11,300,80,355,12,208.25,175,340
2016-09,Metro,5012,*,189,28,267.5,12,362.5,0,,6,192.5,45,285,0,,8,260,40,325,*,380,23,160,75,300,0,,120,295
2016-09,Metro,5013,*,230,20,235,*,250,0,,*,250,30,240,0,,10,250,29,310,*,320,11,270,50,300,*,180,80,270
2016-09,Metro,5014,*,195,32,250,*,380,0,,*,220,45,252.5,*,243.9,9,310,29,350,*,392,6,267.5,50,340,0,,95,290
2016-09,Metro,5015,19,290,18,320,7,300,0,,*,250,45,290,*,195,9,345,37,380,*,450,*,310,50,370,0,,100,322.5
2016-09,Metro,5016,*,190,12,282.5,*,310,0,,0,,15,280,0,,7,285,42,370,7,450,*,360,60,370,0,,75,350
2016-09,Metro,5017,0,,*,230,*,260,0,,0,,*,245,0,,*,395,26,335,0,,*,256.05,30,330,0,,30,320
2016-09,Metro,5018,0,,7,295,*,330,0,,*,295,10,300,0,,*,285,15,380,*,450,0,,20,375,0,,30,345
2016-09,Metro,5019,9,260,35,280,9,360,0,,*,367.5,55,290,*,190,6,265,34,390,7,475,*,340,50,380,0,,105,340
2016-09,Metro,5020,0,,*,295,*,350,0,,0,,*,322.5,*,153,*,350,7,420,*,650,*,365,10,380,0,,15,365
2016-09,Metro,5021,0,,8,325,*,425,0,,0,,15,355,0,,9,265,6,385,7,600,0,,20,365,0,,35,360
2016-09,Metro,5022,9,225,70,305,12,415,*,290,*,275,95,300,*,161.25,6,360,37,450,14,712.5,*,300,65,450,*,235,160,350
2016-09,Metro,5023,*,195,42,242.5,10,382.5,*,310,*,300,60,250,*,102.5,*,180,71,370,6,450,12,280,95,355,0,,155,330
2016-09,Metro,5024,*,212.5,47,275,*,400,0,,*,315,60,282.5,*,135,*,525,35,425,17,480,*,380,55,445,0,,115,350
2016-09,Metro,5025,*,215,8,272.5,*,340,0,,0,,10,275,*,315,*,325,31,390,*,575,*,475,40,385,0,,55,360
2016-09,Metro,5031,6,209.5,24,265,7,370,0,,0,,35,270,0,,11,360,59,400,*,470,6,300,80,390,*,170,120,370
2016-09,Metro,5032,6,212.5,44,262.5,7,360,0,,7,250,65,260,*,240,6,297.5,36,400,9,565,10,175,60,385,*,135,125,300
2016-09,Metro,5033,13,171,28,267.5,9,340,0,,*,215,50,257.5,0,,12,335,37,375,*,385,8,275,60,360,*,161.05,115,295
2016-09,Metro,5034,6,212.5,40,300,9,390,0,,6,297.5,60,300,0,,*,337.5,21,490,16,487.5,*,170,40,475,*,155,100,340
2016-09,Metro,5035,6,240,58,270,6,322.5,0,,8,270,80,270,0,,*,390,17,420,*,450,*,400,30,417.5,0,,105,285
2016-09,Metro,5037,*,230,56,295,7,400,0,,*,230,70,295,*,220,8,332.5,35,400,*,425,6,152.5,55,370,10,170,135,320
2016-09,Metro,5038,17,230,66,267.5,11,340,0,,14,275,110,265,*,152.5,8,305,59,400,7,450,11,350,85,390,*,220,200,300
2016-09,Metro,5039,6,165,16,255,*,370,0,,*,147.5,30,250,*,150,*,280,38,355,*,550,*,340,50,345,*,160,80,320
2016-09,Metro,5040,0,,0,,0,,0,,0,,0,,0,,*,350,*,480,*,430,0,,5,430,0,,5,430
2016-09,Metro,5041,6,237.5,32,280,*,350,0,,*,317.5,45,280,*,190,7,340,25,355,*,547.5,6,380,45,355,0,,85,325
2016-09,Metro,5042,*,200,45,260,7,320,0,,*,160,60,255,*,152.5,7,300,40,350,10,420,9,350,70,350,6,145,135,292.5
2016-09,Metro,5043,*,189,54,285,18,312.5,0,,*,305,80,285,*,160,13,310,72,385,*,350,8,215,100,370,6,161.5,190,320
2016-09,Metro,5044,8,245,27,295,7,355,0,,0,,40,295,*,160,6,330,32,442.5,7,530,0,,45,420,*,140,90,350
2016-09,Metro,5045,63,265,133,300,50,472.5,0,,7,315,255,320,*,200,9,385,43,425,15,515,10,290,80,422.5,0,,335,350
2016-09,Metro,5046,*,252.5,26,295,7,370,0,,*,140,35,300,0,,14,355,54,400,*,465,*,235,75,395,*,137.5,115,360
2016-09,Metro,5047,*,220,6,307.5,7,350,*,275,*,85,20,335,*,157.5,*,141.5,64,380,*,400,*,190,80,370,*,145,100,352.5
2016-09,Metro,5048,*,242.5,25,310,12,405,*,495,*,175,45,325,0,,10,355,49,410,14,497.5,*,257.5,75,405,*,155,120,380
2016-09,Metro,5049,*,205,14,270,6,345,0,,0,,20,300,0,,*,335,26,395,7,460,*,265,40,387.5,0,,65,360
2016-09,Metro,5050,*,290,*,300,0,,0,,0,,*,295,*,195,*,340,*,415,*,435,0,,15,365,0,,15,350
2016-09,Metro,5051,*,252.5,8,300,0,,0,,*,235,10,270,*,210,*,350,19,375,11,585,*,395,35,395,0,,45,362.5
2016-09,Metro,5052,0,,*,300,*,355,0,,*,175,*,300,0,,0,,8,410,*,520,0,,10,440,0,,15,410
2016-09,Metro,5061,10,250,38,317.5,*,520,0,,*,295,55,307.5,*,260,11,395,19,490,13,800,*,555,45,470,*,190,100,367.5
2016-09,Metro,5062,*,225,44,280,*,320,0,,*,250,55,280,0,,8,370,30,422.5,6,565,*,420,45,415,0,,100,320
2016-09,Metro,5063,25,255,45,320,14,425,0,,8,160,90,310,*,322.5,12,400,31,490,17,600,0,,65,480,21,160,175,350
2016-09,Metro,5064,10,217.5,11,325,*,480,0,,*,227.5,25,270,0,,*,400,11,460,7,670,*,290,25,460,*,175,50,342.5
2016-09,Metro,5065,26,265,36,300,*,410,0,,7,300,70,290,0,,*,352.5,16,490,6,740,*,522.5,30,500,0,,100,300
2016-09,Metro,5066,*,235,12,295,*,335,0,,*,250,15,295,*,150,0,,18,555,9,550,*,155,30,497.5,0,,45,440
2016-09,Metro,5067,21,235,60,310,17,490,0,,11,250,110,310,*,340,30,400,35,490,6,600,6,320,80,430,30,195,215,340
2016-09,Metro,5068,7,240,76,310,7,420,0,,*,150,95,310,*,5,7,370,28,455,11,500,*,340,50,425,0,,145,335
2016-09,Metro,5069,6,217.5,28,300,*,390,0,,*,200,45,297.5,0,,6,372.5,22,475,*,650,7,250,40,460,0,,85,350
2016-09,Metro,5070,14,225,69,285,11,360,*,440,6,260,100,285,0,,8,305,53,370,9,530,6,352.5,75,375,12,115.3,190,305
2016-09,Metro,5072,6,185,34,287.5,*,365,0,,*,222.5,45,277.5,*,135,7,290,29,400,11,480,*,365,50,400,0,,95,310
