Quarterperiodend,metro_restofstate,postcode,1BR_flats_count,1BR_flats_median$,2BR_flats_count,2BR_flats_median$,3BR_flats_count,3BR_flats_median$,4+BR_flats_count,4+BR_flats_median$,flats_unknown_count,flats_unknown_median$,total_flats_count,total_flats_median$,1BR_houses_count,1BR_houses_median$,2BR_houses_count,2BR_houses_median$,3BR_houses_count,3BR_houses_median$,4+BR_houses_count,4+BR_houses_median$,houses_unknown_count,houses_unknown_median$,total_houses_count,total_houses_median$,total_other_count,total_other_median$,total_all_count,total_all_median$
2013-12,Metro,5000,149,290,137,430,21,600,*,182.5,86,295,395,370,*,300,30,405,18,500,0,,34,405,85,410,*,225,485,380
2013-12,Metro,5006,15,250,21,350,6,435,0,,29,320,70,330,0,,13,410,10,555,*,572.5,17,550,40,515,0,,115,380
2013-12,Metro,5007,*,140,16,320,7,400,0,,11,380,35,330,*,150,12,315,24,392.5,8,452.5,17,420,65,387.5,0,,100,380
2013-12,Metro,5008,*,245,16,250,*,370,0,,*,257.5,25,250,*,120,9,300,33,330,*,380,26,300,75,320,0,,100,300
2013-12,Metro,5009,0,,*,262.5,0,,0,,0,,*,262.5,0,,6,290,12,310,0,,12,239,30,297.5,0,,35,290
2013-12,Metro,5010,0,,*,155.8,0,,0,,*,257.5,*,232.5,0,,*,280,14,350,*,340,*,335,25,335,0,,25,330
2013-12,Metro,5011,*,205,14,272.5,*,380,0,,9,220,30,263,0,,7,310,24,337.5,*,450,17,340,50,340,*,188.95,85,300
2013-12,Metro,5012,*,115,14,260,7,380,0,,13,230,35,260,0,,6,257.5,20,345,*,330,17,340,45,330,0,,80,300
2013-12,Metro,5013,0,,13,225,*,300,0,,8,157.5,20,212.5,*,200,6,277.5,13,300,*,382.5,18,292.5,45,295,0,,65,260
2013-12,Metro,5014,*,170,18,245,*,370,0,,8,210,30,232.5,*,170,10,300,23,350,*,385,22,310,60,335,0,,90,300
2013-12,Metro,5015,8,292.5,15,295,*,295,0,,27,295,55,295,*,270,6,310,17,360,0,,14,340,40,335,0,,95,300
2013-12,Metro,5016,*,210,11,260,*,280,0,,6,277.5,20,270,0,,*,156,25,350,*,545,9,385,40,350,0,,65,320
2013-12,Metro,5017,0,,*,330,0,,0,,*,272.5,*,285,0,,*,260,12,289.5,*,340,13,320,30,290,0,,35,287.5
2013-12,Metro,5018,0,,*,320,*,315,0,,*,375,*,330,0,,*,260,*,380,*,625,*,357.5,10,380,0,,15,375
2013-12,Metro,5019,*,220,27,275,*,350,0,,15,280,50,280,*,160,*,320,18,400,*,350,15,500,40,405,0,,90,320
2013-12,Metro,5020,*,240,*,295,*,325,*,350,*,335,10,330,0,,*,335,*,475,*,430,*,457.5,10,435,0,,20,390
2013-12,Metro,5021,0,,8,382.5,*,525,0,,0,,10,400,0,,*,280,11,510,0,,*,580,20,485,0,,30,435
