Quarterperiodend,metro_restofstate,postcode,1BR_flats_count,1BR_flats_median$,2BR_flats_count,2BR_flats_median$,3BR_flats_count,3BR_flats_median$,4+BR_flats_count,4+BR_flats_median$,flats_unknown_count,flats_unknown_median$,total_flats_count,total_flats_median$,1BR_houses_count,1BR_houses_median$,2BR_houses_count,2BR_houses_median$,3BR_houses_count,3BR_houses_median$,4+BR_houses_count,4+BR_houses_median$,houses_unknown_count,houses_unknown_median$,total_houses_count,total_houses_median$,total_other_count,total_other_median$,total_all_count,total_all_median$
2015-06,Metro,5000,413,295,274,420,40,522.5,*,520,364,250,1090,295,12,335,50,410,34,505,*,520,29,300,130,412.5,26,200,1245,295
2015-06,Metro,5006,26,295,57,380,9,495,*,0,23,335,115,340,7,300,18,405,17,500,*,705,10,497.5,55,445,0,,170,382.5
2015-06,Metro,5007,7,161.1,17,292,14,430,0,,22,325,60,335,*,197.5,19,350,32,420,*,550,16,245.5,75,385,6,157.5,140,362.5
2015-06,Metro,5008,*,200,16,250,7,375,0,,8,252.5,35,250,0,,12,337.5,46,372.5,12,410,22,305,90,355,*,155,130,320
2015-06,Metro,5009,*,230,*,260,*,332.5,0,,*,270,15,270,0,,6,282.5,13,380,*,450,7,350,30,355,0,,45,316
2015-06,Metro,5010,0,,*,250,*,390,0,,*,163.4,10,260,0,,*,230,14,367.5,*,390,*,215,25,352.5,0,,35,340
2015-06,Metro,5011,6,220,36,270,18,380,0,,18,272.5,80,280,*,230,*,160,44,375,9,450,11,335,70,370,8,204.8,155,300
2015-06,Metro,5012,*,170,21,255,*,352.5,0,,18,187.3,45,237.5,*,140,8,267.5,30,322.5,8,350,16,306.3,65,320,0,,105,290
2015-06,Metro,5013,*,190,9,240,0,,0,,8,228.5,20,232,0,,9,295,30,320,*,405,20,290,65,310,*,150,85,297.5
2015-06,Metro,5014,*,200,21,255,*,367.5,0,,10,260,40,257.5,*,207.5,11,290,39,350,6,410,13,340,70,345,0,,110,320
