Quarterperiodend,metro_restofstate,postcode,1BR_flats_count,1BR_flats_median$,2BR_flats_count,2BR_flats_median$,3BR_flats_count,3BR_flats_median$,4+BR_flats_count,4+BR_flats_median$,flats_unknown_count,flats_unknown_median$,total_flats_count,total_flats_median$,1BR_houses_count,1BR_houses_median$,2BR_houses_count,2BR_houses_median$,3BR_houses_count,3BR_houses_median$,4+BR_houses_count,4+BR_houses_median$,houses_unknown_count,houses_unknown_median$,total_houses_count,total_houses_median$,total_other_count,total_other_median$,total_all_count,total_all_median$
2016-06,Metro,5000,342,300,243,415,45,500,*,820,14,430,645,323.84,19,158,31,430,49,450,10,430,9,239.8,120,400,15,180,780,330
2016-06,Metro,5006,28,282.5,50,335,15,495,0,,*,200,100,330,*,260,21,400,22,602.5,*,875,*,375,50,450,*,245,150,370
2016-06,Metro,5007,*,176.1,31,326.25,10,445,0,,8,240,55,322.5,*,245,27,350,34,400,*,240,11,160,80,360,*,155,140,347.5
2016-06,Metro,5008,*,195,27,250,10,345,0,,11,160,50,250,*,135,18,300,44,380,20,157.5,45,145,130,300,*,155,185,257.5
2016-06,Metro,5009,*,230,10,277.5,6,327.5,0,,0,,15,280,*,210,8,340,10,330,*,437.5,13,300,35,325,0,,50,310
2016-06,Metro,5010,*,235,*,260,*,220,0,,12,250,20,250,*,105,*,285,19,360,*,380,*,330,30,350,31,250,80,250
2016-06,Metro,5011,*,250,40,297.5,7,390,0,,*,270,55,297.5,0,,16,337.5,43,400,*,475,6,285,70,377.5,10,165.2,135,340
2016-06,Metro,5012,*,170,30,251,15,365,*,150,8,162.5,55,257.5,0,,15,281.5,43,330,7,405,21,158.5,85,302.5,*,155,145,295
2016-06,Metro,5013,*,195,15,240,0,,0,,6,237.5,20,237.5,*,150,12,265,31,340,*,380,7,360,55,330,*,155,75,285
2016-06,Metro,5014,*,195,23,260,*,315,0,,*,220,30,260,*,212.5,10,317.5,35,340,8,350,15,280,70,330,0,,105,295
2016-06,Metro,5015,17,300,11,290,6,442.5,0,,*,302.5,35,300,*,270,9,310,31,370,*,362.5,*,480,45,360,0,,80,345
2016-06,Metro,5016,*,165,15,260,*,295,0,,0,,20,265,*,225,10,300,39,380,*,450,*,220,55,372.5,0,,75,360
2016-06,Metro,5017,0,,*,285,*,335,0,,0,,*,310,0,,9,245,20,340,*,285,*,125,35,300,0,,35,300
2016-06,Metro,5018,*,60,7,320,*,360,0,,*,690,15,345,0,,*,420,17,395,6,414.235,0,,25,395,0,,40,362.5
2016-06,Metro,5019,9,195,34,287.5,*,420,0,,*,285,50,280,*,185,*,350,29,415,*,485,*,0,40,407.5,0,,90,330
2016-06,Metro,5020,0,,*,360,*,335,0,,0,,10,347.5,0,,*,390,0,,*,390,0,,*,390,0,,10,355
2016-06,Metro,5021,0,,12,370,*,385,0,,*,455,15,370,0,,*,302.5,*,450,*,540,0,,10,375,0,,25,370
2016-06,Metro,5022,8,236.55,71,300,11,380,0,,*,255,95,295,0,,*,330,44,460,15,510,*,380,65,460,0,,160,360
2016-06,Metro,5023,*,210,64,272.5,25,390,0,,7,250,100,295,*,103,15,260,73,380,6,437.5,16,318.5,110,350,0,,210,330
2016-06,Metro,5024,10,215,37,285,*,330,0,,*,270,55,280,0,,*,450,27,430,*,580,*,390,35,430,0,,90,310
2016-06,Metro,5025,0,,*,270,*,400,0,,*,320,5,275,0,,*,320,33,370,*,570,10,195,50,360,0,,60,352.5
2016-06,Metro,5031,6,185,25,290,*,302.5,*,680,*,250,40,280,*,125,20,345,49,380,8,450,15,300,95,365,0,,130,350
2016-06,Metro,5032,10,217.5,69,260,8,390,*,495,14,250,100,252.5,0,,6,345,31,390,6,610,*,350,45,390,0,,150,280
2016-06,Metro,5033,6,196.5,35,275,*,347.5,*,275,9,270,55,270,0,,6,282.5,51,390,7,450,*,400,70,380,7,135,130,310
2016-06,Metro,5034,6,220,41,295,16,430,0,,7,270,70,300,0,,8,387.5,15,450,10,500,6,190,40,430,*,132.5,110,325
2016-06,Metro,5035,8,245,54,280,7,330,0,,*,280,75,280,*,150,*,350,11,435,0,,*,400,20,382.5,0,,95,290
2016-06,Metro,5037,17,235,45,270,7,400,*,550,9,210,80,255,*,292.5,8,345,43,380,*,390,7,180,65,360,*,140,145,300
