Quarterperiodend,metro_restofstate,postcode,1BR_flats_count,1BR_flats_median$,2BR_flats_count,2BR_flats_median$,3BR_flats_count,3BR_flats_median$,4+BR_flats_count,4+BR_flats_median$,flats_unknown_count,flats_unknown_median$,total_flats_count,total_flats_median$,1BR_houses_count,1BR_houses_median$,2BR_houses_count,2BR_houses_median$,3BR_houses_count,3BR_houses_median$,4+BR_houses_count,4+BR_houses_median$,houses_unknown_count,houses_unknown_median$,total_houses_count,total_houses_median$,total_other_count,total_other_median$,total_all_count,total_all_median$
2019-03,Metro,5000,1389,320,444,460,70,570,*,715,22,425,1930,344,39,162,59,440,46,487.5,7,475,14,345,165,420,51,190,2145,344
2019-03,Metro,5006,27,310,53,365,12,450,*,750,9,350,100,357.5,*,325,21,420,30,500,10,872.5,*,465,65,480,*,257.5,170,395
2019-03,Metro,5007,15,335,64,395,25,440,0,,11,200,115,390,*,185,21,330,54,450,17,460,8,175,105,420,14,182.5,230,395
2019-03,Metro,5008,*,250,31,265,7,390,*,350,8,290,50,275,10,165,23,320,89,370,28,165,25,320,175,340,13,185,240,310
2019-03,Metro,5009,*,195.7,*,200,12,390,0,,*,260,15,390,*,330,6,340,14,425,6,437.5,9,300,35,350,0,,50,362.5
2019-03,Metro,5010,*,225,9,280,0,,0,,*,179.7,10,250,0,,6,220,18,382.5,*,450,*,395,30,375,*,200,45,310
2019-03,Metro,5011,*,237.5,50,322.5,17,400,0,,7,300,80,325,*,327.5,17,350,49,400,*,470,8,322.5,80,365,*,297.7,165,345
2019-03,Metro,5012,*,180,16,260,12,370,0,,8,250,35,285,0,,12,265,51,370,*,385,29,140,95,330,*,140.44,135,320
2019-03,Metro,5013,*,220,12,272.5,*,240,0,,*,260,20,260,*,275,13,290,39,370,7,390,9,375,70,360,*,225,90,330
2019-03,Metro,5014,9,200,28,285,*,410,0,,*,184.85,45,280,*,245,*,231.8,42,385,*,435,9,320,60,380,*,160,110,337.5
2019-03,Metro,5015,16,310,14,345,10,357.5,0,,*,360,40,310,0,,10,372.5,43,400,0,,*,280,55,395,0,,95,360
2019-03,Metro,5016,*,230,22,287.5,*,205.15,0,,*,260,30,280,*,200,8,322.5,40,405,6,507.5,0,,55,400,0,,85,367.5
2019-03,Metro,5017,0,,*,285,*,395,0,,*,290,*,290,0,,8,260,29,350,7,470,7,179.9,50,344.8,0,,55,342.4
2019-03,Metro,5018,0,,*,320,*,365,0,,*,320,*,320,0,,*,327.5,24,420,*,435,0,,30,420,0,,35,400
2019-03,Metro,5019,*,220,30,272.5,6,432.5,0,,6,265,45,285,*,162.5,6,355,32,430,6,555,*,387.5,50,422.5,*,175,95,350
2019-03,Metro,5020,0,,*,415,*,352.5,0,,0,,*,380,0,,0,,*,420,*,450,*,365,5,420,0,,10,397.5
2019-03,Metro,5021,0,,*,380,6,440,0,,0,,10,400,0,,7,310,10,450,8,610,*,400,25,450,*,235,40,420
2019-03,Metro,5022,9,285,55,290,17,550,*,270,*,290,85,300,*,330,7,400,45,505,24,640,7,400,85,520,0,,170,435
2019-03,Metro,5023,*,138.57,59,275,15,410,0,,10,270,85,285,*,230,13,320,93,400,6,492.5,8,390,120,395,*,78.79,210,355
2019-03,Metro,5024,11,215,44,310,*,400,*,580,13,310,75,310,*,190,*,402.5,43,440,9,550,*,425,60,450,*,165,135,355
2019-03,Metro,5025,*,177.97,*,245,*,380,0,,0,,5,245,0,,*,305,44,435,*,487.5,*,140,55,420,*,310,65,400
2019-03,Metro,5031,*,250,24,295,8,427.5,*,372.5,11,160,50,282.5,*,139.075,9,370,74,430,7,550,14,325,105,420,*,165,160,390
2019-03,Metro,5032,12,235,57,285,8,355,0,,8,272.5,85,280,0,,8,350,33,410,14,595,10,405,65,430,0,,150,320
2019-03,Metro,5033,7,255,32,282.5,7,390,0,,6,275,50,280,0,,10,382.5,51,430,7,475,9,250,75,410,*,145,135,325
2019-03,Metro,5034,*,240,72,305,13,470,0,,10,315,100,325,0,,9,400,16,460,7,550,7,395,40,440,*,155,140,350
2019-03,Metro,5035,12,245,43,290,7,400,0,,*,300,65,287.5,*,255,7,410,23,475,*,542.5,*,350,40,440,*,197.5,105,320
2019-03,Metro,5037,15,220,47,280,14,442.5,*,500,14,260,90,280,*,165,6,355,65,440,21,500,10,415,105,447.5,9,175,205,370
2019-03,Metro,5038,22,232.5,79,280,18,402.5,*,500,7,240,125,280,0,,20,340,90,417.5,19,470,13,370,140,407.5,17,170,285,340
2019-03,Metro,5039,*,190,28,280,*,410,0,,*,285,40,282.5,*,170,7,320,37,415,7,480,9,390,60,400,*,170,105,340
2019-03,Metro,5040,0,,0,,0,,0,,0,,0,,0,,0,,*,417.5,0,,0,,*,417.5,0,,*,417.5
2019-03,Metro,5041,11,260,37,305,*,390,0,,6,270.75,55,280,0,,11,320,30,430,10,487.5,*,300,50,430,*,150,110,317.5
2019-03,Metro,5042,*,220,65,268.8,*,335,0,,13,260,90,266.9,*,215,*,365,51,380,8,400,30,177.5,95,362.5,14,180,200,282.5
2019-03,Metro,5043,12,180,63,295,32,355,*,385,6,275,115,300,0,,14,206.8,134,420,21,425,15,203.3,185,400,7,150,305,350
2019-03,Metro,5044,*,222.5,25,310,*,350,0,,*,300,35,310,*,88,*,375,35,470,11,660,*,265,55,475,0,,90,400
2019-03,Metro,5045,52,280,143,305,27,540,0,,12,287.5,235,312.5,*,260,9,395,47,490,*,782.5,*,432.5,65,475,0,,295,340
2019-03,Metro,5046,*,232,38,310,*,360,0,,*,275,45,310,*,190,12,347.5,56,430,8,500,6,269.25,85,420,*,152.5,140,382.5
2019-03,Metro,5047,*,280,*,320,11,320,0,,*,155,20,280,*,165,7,300,67,400,7,440,11,395,95,400,*,200,120,375
2019-03,Metro,5048,*,230,27,320,8,450,*,825,*,245,45,322.5,0,,7,345,48,425,23,550,6,175,85,420,*,200,130,400
2019-03,Metro,5049,*,255,16,300,7,520,0,,*,310,30,310,0,,*,367.5,21,400,10,600,*,370,40,405,0,,65,387.5
2019-03,Metro,5050,*,230,*,290,*,370,0,,*,165,10,242.5,0,,0,,6,467.5,*,420,6,375,15,420,11,170,40,270
2019-03,Metro,5051,*,237.5,9,300,*,300,0,,*,300,15,300,*,220,8,320,14,450,9,530,*,427.5,35,445,0,,55,370
2019-03,Metro,5052,0,,*,315,0,,0,,*,210,*,210,*,285,0,,10,432.5,*,515,0,,15,450,0,,20,412.5
2019-03,Metro,5061,12,280,51,350,15,460,0,,*,290,85,345,*,370,6,440,30,480,13,975,*,500,55,520,*,190,140,390
2019-03,Metro,5062,*,140.75,40,302.5,*,435,0,,7,275,50,300,0,,10,397.5,39,475,13,595,*,420,65,460,0,,115,385
2019-03,Metro,5063,21,280,38,355,8,495,*,620,*,277.5,75,350,*,345,21,400,43,500,11,670,*,155,80,475,9,175,165,410
2019-03,Metro,5064,9,210,15,320,10,475,0,,*,217.5,40,310,*,160,*,440,22,555,9,785,*,455,35,600,0,,75,420
2019-03,Metro,5065,15,275,61,300,*,367.5,0,,*,310,85,300,0,,7,395,17,550,6,800,*,560,30,545,0,,115,320
2019-03,Metro,5066,*,285,9,300,*,430,0,,*,317.5,15,315,*,260,*,375,25,470,10,600,*,425,40,470,0,,55,450
2019-03,Metro,5067,38,250,63,330,37,495,0,,14,317.5,150,340,0,,34,397.5,44,500,11,650,*,410,95,480,*,220,245,400
2019-03,Metro,5068,*,242.5,69,320,9,440,*,775,*,250,85,320,*,113.2,9,380,17,470,19,600,10,260,55,465,*,55,145,350
2019-03,Metro,5069,9,250,44,310,7,450,*,179.65,*,295,70,300,0,,8,460,28,480,10,572.5,*,440,50,480,*,175,120,360
2019-03,Metro,5070,11,250,98,300,18,370,0,,9,300,135,305,*,210,10,330,58,420,13,495,34,225,120,380.25,*,147.5,260,330
2019-03,Metro,5071,0,,*,480,0,,0,,0,,*,480,0,,0,,0,,0,,0,,0,,0,,*,480
2019-03,Metro,5072,6,227.5,42,295,6,410,0,,0,,55,295,*,290,7,350,37,450,14,580,*,405,65,450,*,90,120,360
2019-03,Metro,5073,*,235,38,290,14,440,0,,7,370,60,300,0,,7,330,79,400,19,450,17,365,120,400,*,130,185,375
2019-03,Metro,5074,*,210,25,290,16,405,0,,*,320,50,310,*,168,12,262,67,380,12,485,7,400,105,370,*,135,155,350
2019-03,Metro,5075,0,,8,292.5,13,395,0,,0,,20,360,*,177,*,285,38,382.5,9,450,*,425,60,385,0,,80,385
2019-03,Metro,5076,0,,*,335,*,335,*,89,*,300,10,317.5,0,,*,330,14,372.5,*,500,*,280,25,365,*,160,35,357.5
2019-03,Metro,5081,11,335,45,380,9,410,0,,*,220,70,357.5,*,225,9,360,25,470,16,720,*,385,55,480,*,150,125,410
