Quarterperiodend,metro_restofstate,postcode,1BR_flats_count,1BR_flats_median$,2BR_flats_count,2BR_flats_median$,3BR_flats_count,3BR_flats_median$,4+BR_flats_count,4+BR_flats_median$,flats_unknown_count,flats_unknown_median$,total_flats_count,total_flats_median$,1BR_houses_count,1BR_houses_median$,2BR_houses_count,2BR_houses_median$,3BR_houses_count,3BR_houses_median$,4+BR_houses_count,4+BR_houses_median$,houses_unknown_count,houses_unknown_median$,total_houses_count,total_houses_median$,total_other_count,total_other_median$,total_all_count,total_all_median$
2018-09,Metro,5000,831,300,325,455,55,530,*,450,10,357.5,1220,339,41,161,43,420,37,465,8,455,7,250,135,375,38,185,1395,337
2018-09,Metro,5006,31,315,58,350,7,475,0,,6,310,100,345,*,350,21,420,31,585,14,725,*,450,70,500,*,222.5,175,390
2018-09,Metro,5007,8,271,44,372.5,31,410,0,,6,305,90,380,*,150,16,347.5,38,422.5,*,377.5,8,350,70,400,15,160,170,382.5
2018-09,Metro,5008,*,275,29,290,11,350,0,,*,170,50,290,*,110,13,310,67,375,23,380,12,350,120,355,12,190,180,325
2018-09,Metro,5009,*,190,6,310,*,390,0,,0,,15,310,0,,*,285,14,420,*,470,12,350,30,380,0,,45,377.5
2018-09,Metro,5010,0,,*,210.4,0,,0,,0,,*,210.4,*,77,*,295,21,340,8,427.5,*,240,35,345,*,170,40,325
2018-09,Metro,5011,6,194.09,69,300,9,360,0,,*,265,90,300,*,80.14,26,357.5,51,395,9,550,8,215,95,370,8,130.675,190,335
2018-09,Metro,5012,*,165,67,152.3,11,360,*,375,*,124.7,85,182.425,0,,53,175.5,38,357.5,7,380,25,280,125,287.6,0,,205,240
2018-09,Metro,5013,*,155,14,255,*,265,0,,*,257.5,25,255,0,,9,270,34,330,*,447.5,11,350,60,330,*,170,85,300
2018-09,Metro,5014,*,185,34,260,*,300,0,,*,250,45,253,0,,10,325,45,360,7,380,12,300,75,360,0,,120,330
2018-09,Metro,5015,14,292.5,19,320,*,295,0,,*,280,40,300,*,250,7,290,30,370,7,440,*,305,50,350,*,195,90,325
2018-09,Metro,5016,7,185,21,280,*,330,0,,0,,30,275,0,,6,274,26,397.5,8,425,*,180.85,40,400,0,,70,340
2018-09,Metro,5017,0,,0,,0,,0,,0,,0,,0,,7,191.4,22,377.5,*,310,*,290,35,352.5,0,,35,352.5
2018-09,Metro,5018,0,,*,370,*,330,0,,0,,10,365,0,,0,,9,400,*,600,*,430,10,427.5,0,,20,392.5
2018-09,Metro,5019,7,240,35,320,*,450,0,,*,290,50,302.5,0,,7,355,33,400,*,600,*,175,50,395,*,175,100,350
2018-09,Metro,5020,0,,*,320,*,365,0,,0,,*,337.5,0,,*,300,10,450,*,550,0,,10,450,0,,15,405
2018-09,Metro,5021,*,350,11,330,*,565,0,,0,,15,340,0,,6,307.5,9,410,*,605,0,,20,410,*,250,35,360
2018-09,Metro,5022,9,250,67,310,17,550,0,,9,260,100,312.5,*,250,11,375,38,450,17,620,*,370,70,450,0,,175,370
2018-09,Metro,5023,*,230,37,250,21,390,0,,6,280,65,277.5,*,170,15,320,67,380,8,365,8,370,100,370,*,150,170,350
2018-09,Metro,5024,8,240,46,320,*,417.5,0,,*,310,65,310,*,195,*,340,51,435,12,542.5,*,420,70,440,0,,135,362.5
2018-09,Metro,5025,*,202.23,*,270,*,336.25,0,,*,360,10,270.2,0,,*,342.5,33,420,7,500,*,300,50,405,0,,60,390
2018-09,Metro,5031,8,193.5,15,270,8,367.5,*,575,*,200,35,270,*,213.75,20,370,42,450,12,445,8,322.5,85,395,7,170,130,370
2018-09,Metro,5032,*,260,47,270,*,420,0,,*,235,60,270,*,200,9,340,32,377.5,7,520,*,420,50,377.5,0,,110,320
2018-09,Metro,5033,*,195,30,277.5,9,355,0,,6,260,45,275,*,120,*,345,43,405,*,540,*,275,60,377.5,6,130,115,320
2018-09,Metro,5034,*,260,54,310,13,380,0,,*,295,75,315,0,,8,437.5,23,450,*,735,9,310,40,427.5,0,,115,340
2018-09,Metro,5035,8,230,40,282.5,*,395,0,,7,280,60,277.5,*,192.5,*,317.5,14,452.5,*,595,0,,20,450,0,,80,295
2018-09,Metro,5037,18,217.5,36,265,8,400,0,,6,277.5,70,265,*,175,8,357.5,36,417.5,*,160,*,660,50,400,*,185,120,305
2018-09,Metro,5038,20,215,81,290,9,340,0,,11,250,120,280,0,,13,390,70,397.5,14,455,7,375,105,400,11,170,235,327.5
2018-09,Metro,5039,*,190.425,11,280,*,375,0,,0,,20,280,*,220,7,315,26,400,*,460,*,420,45,390,*,145,65,365
2018-09,Metro,5040,0,,0,,0,,0,,0,,0,,0,,0,,*,430,0,,0,,*,430,0,,*,430
2018-09,Metro,5041,*,265,17,290,*,290,*,420,*,230.4,25,290,0,,*,365,22,405,8,460,*,244,35,400,*,190,65,340
2018-09,Metro,5042,*,210,48,270,8,340,0,,*,277.5,65,270,*,180,10,325,36,400,11,450,*,232.5,60,385,7,165,130,302.5
2018-09,Metro,5043,13,130,42,292.5,18,355,0,,*,280,75,295,*,160,18,195.15,89,375,15,470,25,170,150,352.5,*,160,230,325
2018-09,Metro,5044,6,257.5,36,300,7,370,0,,*,332.5,50,305,*,340,6,360,29,450,*,530,0,,40,440,*,140,95,350
2018-09,Metro,5045,58,275,155,300,35,515,0,,18,295,265,310,*,180,*,385,54,440,14,762.5,*,172.5,75,450,0,,345,340
2018-09,Metro,5046,*,140,31,300,8,345,0,,*,230,45,300,*,220,13,330,60,427.5,9,450,*,178.8,85,415,*,160,135,360
2018-09,Metro,5047,*,146,*,280,6,350,*,400,*,95,15,312.5,0,,*,271,63,390,8,410,*,155,80,385,0,,95,370
2018-09,Metro,5048,6,265,26,320,13,400,*,920,*,95,45,320,0,,*,315,42,422.5,8,515,0,,55,425,8,172.5,110,380
2018-09,Metro,5049,*,270,13,275,*,395,0,,*,462,20,310,*,300,*,330,41,395,11,495,*,240,60,400,0,,80,380
2018-09,Metro,5050,0,,*,307.5,0,,0,,0,,*,307.5,*,200,*,300,8,375,8,432.5,*,130,20,390,9,150,30,332.5
2018-09,Metro,5051,*,250,9,290,0,,0,,*,290,10,290,*,220,*,350,10,412.5,17,550,0,,30,427.5,*,155,45,400
2018-09,Metro,5052,*,235,*,287.5,0,,0,,0,,*,262.5,0,,*,350,10,420,*,125,0,,15,395,0,,20,385
2018-09,Metro,5061,7,265,38,335,9,440,*,750,*,254.1,55,335,*,255,16,425,21,495,8,775,0,,50,477.5,*,205,110,395
2018-09,Metro,5062,*,227.5,36,290,*,430,0,,*,265,45,290,0,,8,430,17,425,13,630,*,400,40,460,0,,85,350
2018-09,Metro,5063,18,262.5,43,350,14,425,*,700,6,87.5,80,340,*,345,22,410,30,507.5,*,625,6,295,65,452.5,9,165,155,350
2018-09,Metro,5064,*,192,17,340,*,325,0,,0,,20,332.5,*,250,*,460,17,515,7,725,*,160,30,517.5,*,172.5,55,385
2018-09,Metro,5065,21,240,51,330,*,350,*,330,6,320,85,320,0,,*,367.5,11,495,11,745,0,,25,535,0,,110,332.5
2018-09,Metro,5066,*,272.5,12,300,*,380,0,,0,,15,290,*,285,*,370,21,470,20,647.5,*,550,50,480,0,,65,450
2018-09,Metro,5067,18,342.5,80,332.5,28,470,*,450,*,200,135,350,*,230,34,392.5,33,500,9,460,*,270,80,450,19,200,235,380
2018-09,Metro,5068,8,235,66,307.5,12,450,*,650,*,320,90,310,*,150,7,390,27,430,6,595,9,245,55,410,0,,140,340
2018-09,Metro,5069,6,250,31,325,*,275,0,,*,100,45,310,*,345,11,400,18,490,*,650,*,410,40,465,0,,80,387.5
2018-09,Metro,5070,7,240,71,295,23,355,0,,7,265,110,300,*,130,*,307.5,37,430,6,450,34,194.75,80,389,*,152.5,190,315
2018-09,Metro,5072,9,191,22,300,6,430,*,462.5,0,,40,295,0,,*,330,44,430,9,530,*,146.3,60,440,0,,100,377.5
2018-09,Metro,5073,6,205,27,290,6,390,0,,*,285,40,285,0,,8,325,82,397.5,33,460,7,350,130,397.5,0,,170,377.5
2018-09,Metro,5074,6,227.5,26,272.5,9,410,*,280,*,280,45,280,*,165,8,290,77,400,11,325,*,310,105,395,*,135,150,350
2018-09,Metro,5075,*,235,10,257.5,12,337.5,0,,0,,25,315,0,,*,327.5,48,380,13,440,*,350,70,380,*,250,95,360
2018-09,Metro,5076,*,210,*,287.5,*,330,0,,0,,*,300,0,,*,300,12,395,*,470,*,350,25,380,*,190,30,347.5
2018-09,Metro,5081,11,340,42,300,8,482.5,0,,*,360,65,347.5,*,150,*,410,19,460,7,800,*,370,35,415,*,150,100,370
2018-09,Metro,5082,*,250,61,290,17,420,0,,11,240,95,292.5,*,218.33,16,365,61,410,13,500,9,380,100,410,*,195,200,350
2018-09,Metro,5083,*,178,38,297.5,*,270,0,,0,,45,295,*,65.58,*,289.85,30,367.5,*,550,*,300,45,365,*,420,90,325
2018-09,Metro,5084,*,178,31,260,*,107,0,,*,310,35,260,*,135,11,255,60,330,9,380,20,320,105,335,*,147.5,140,295
2018-09,Metro,5085,*,217.5,28,315,*,355,*,400,*,297,40,317.5,*,200,30,300,172,390,15,490,13,295,230,380,*,165,270,365
2018-09,Metro,5086,13,190,19,265,*,270,0,,*,270,35,240.3,8,160,12,238.25,104,365,16,360,8,325,150,360,0,,185,340
2018-09,Metro,5087,*,220,38,267.5,*,357.5,*,295,*,275,50,275,0,,15,295,66,362.5,*,400,7,200,90,350,*,130,145,320
2018-09,Metro,5088,0,,*,290,*,285,0,,0,,5,290,0,,*,217.85,17,400,*,410,*,370,25,370,*,120,35,340
