Quarterperiodend,metro_restofstate,postcode,1BR_flats_count,1BR_flats_median$,2BR_flats_count,2BR_flats_median$,3BR_flats_count,3BR_flats_median$,4+BR_flats_count,4+BR_flats_median$,flats_unknown_count,flats_unknown_median$,total_flats_count,total_flats_median$,1BR_houses_count,1BR_houses_median$,2BR_houses_count,2BR_houses_median$,3BR_houses_count,3BR_houses_median$,4+BR_houses_count,4+BR_houses_median$,houses_unknown_count,houses_unknown_median$,total_houses_count,total_houses_median$,total_other_count,total_other_median$,total_all_count,total_all_median$
2013-03,Metro,5000,181,285,245,430,42,492.5,*,349.075,197,340,670,374,*,310,45,415,32,480,*,690,21,410,105,425,21,200,795,380
2013-03,Metro,5006,29,280,36,330,13,475,0,,46,310,125,320,0,,17,405,29,495,7,710,22,475,75,470,*,485,200,370
2013-03,Metro,5007,*,265,13,250,11,380,0,,24,385,50,350,*,290,16,300,31,400,*,450,30,310,80,360,0,,130,350
2013-03,Metro,5008,*,185,17,235,*,350,0,,14,240,40,250,*,190,11,320,36,367.5,10,380,41,300,100,320,0,,140,310
2013-03,Metro,5009,*,190,*,267.5,*,390,0,,*,270,10,290,*,120,*,327.5,11,360,0,,10,300,25,350,0,,30,315
2013-03,Metro,5010,*,230,*,250,0,,0,,7,210,15,235,0,,*,270,17,350,*,350,8,355,30,350,0,,45,335
2013-03,Metro,5011,*,202.5,36,260,*,345,0,,*,220,50,260,*,160,7,285,43,340,*,370,14,330,70,330,*,135,120,300
2013-03,Metro,5012,*,160,16,242.5,7,320,0,,12,235,40,247.5,*,350,*,260,21,310,*,345,34,270,65,295,0,,105,277.5
2013-03,Metro,5013,*,182.5,12,225,*,250,0,,6,207.5,25,220,0,,9,275,18,320,0,,27,315,55,312.5,0,,80,275
2013-03,Metro,5014,*,192.5,19,245,8,340,0,,11,230,40,245,*,170,*,290,26,332.5,*,420,22,300,60,320,0,,100,285
2013-03,Metro,5015,10,287.5,12,277.5,*,455,0,,22,290,50,292.5,*,295,6,325,14,367.5,*,372.5,24,380,50,365,0,,95,320
2013-03,Metro,5016,*,235,13,270,*,330,0,,10,270,30,270,*,280,7,300,19,360,*,455,16,350,45,360,0,,75,310
