Quarterperiodend,metro_restofstate,postcode,1BR_flats_count,1BR_flats_median$,2BR_flats_count,2BR_flats_median$,3BR_flats_count,3BR_flats_median$,4+BR_flats_count,4+BR_flats_median$,flats_unknown_count,flats_unknown_median$,total_flats_count,total_flats_median$,1BR_houses_count,1BR_houses_median$,2BR_houses_count,2BR_houses_median$,3BR_houses_count,3BR_houses_median$,4+BR_houses_count,4+BR_houses_median$,houses_unknown_count,houses_unknown_median$,total_houses_count,total_houses_median$,total_other_count,total_other_median$,total_all_count,total_all_median$
2016-03,Metro,5000,710,280,405,440,87,520,*,600,31,390,1235,315,27,157,67,420,52,470,9,435,24,170.9,180,395,33,185,1450,320
2016-03,Metro,5006,36,297.5,82,350,21,455,0,,7,360,145,342.5,*,350,20,395,29,525,8,757.5,*,610,60,495,*,245,210,360
2016-03,Metro,5007,9,250,31,380,25,450,*,450,6,130,70,392.5,7,250,24,355,54,410,12,420,13,181.5,110,375,10,172.5,190,375
2016-03,Metro,5008,8,167.5,28,260,8,372.5,*,490,7,135,50,255,*,150,11,350,84,372.5,7,410,36,167.5,140,350,*,150,195,320
2016-03,Metro,5009,0,,13,270,*,402.5,0,,*,250,15,275,0,,7,300,18,367.5,6,447.5,10,335,40,350,0,,55,330
2016-03,Metro,5010,*,245,9,205,0,,0,,0,,10,225,0,,0,,19,350,*,380,*,145,25,350,*,130,40,305
2016-03,Metro,5011,9,250,68,292.5,18,390,0,,*,200,100,297.5,*,230,15,340,50,385,8,525,10,308.5,85,362.5,9,151.2,195,325
2016-03,Metro,5012,6,171,20,265,7,360,0,,8,242.5,40,260,*,150,*,187,42,347.5,7,390,16,194.5,70,305,*,160,110,290
2016-03,Metro,5013,*,197.5,18,247.5,6,250,0,,8,250,35,250,0,,*,250,28,320,6,382.5,8,320,45,320,*,155,85,260
2016-03,Metro,5014,6,205,26,255,*,372.5,0,,*,210,40,255,*,190,11,315,41,330,*,410,6,290,65,330,*,180,105,307.5
2016-03,Metro,5015,31,290,14,285,7,320,0,,*,125,55,290,*,260,8,330,37,390,*,380,0,,50,380,0,,105,320
2016-03,Metro,5016,8,217.5,22,282.5,*,322.2,0,,*,275,35,272.5,*,290,8,292.5,40,380,6,400,*,134,60,372.5,0,,95,325
2016-03,Metro,5017,0,,0,,*,335,0,,*,170,*,252.5,0,,*,188.75,23,310,*,360,*,200,35,300,0,,35,300
2016-03,Metro,5018,0,,*,320,6,360,*,280,0,,10,345,0,,*,332.5,17,390,*,450,0,,20,390,0,,35,390
2016-03,Metro,5019,*,210,40,280,9,420,*,650,6,297.5,60,285,*,210,10,335,34,392.5,*,500,*,295,55,380,0,,115,327.5
2016-03,Metro,5020,0,,6,335,*,380,0,,0,,10,335,0,,*,370,*,400,*,450,*,480,10,430,0,,20,365
2016-03,Metro,5021,0,,14,322.5,7,435,0,,*,300,20,355,0,,7,275,*,550,6,605,*,580,20,550,0,,40,375
2016-03,Metro,5022,18,230,91,290,9,500,*,650,*,280,125,290,*,239.9,*,350,46,420,29,650,6,280,90,450,0,,210,330
2016-03,Metro,5023,*,215,58,267.5,16,395,*,430,*,275,85,290,*,85,13,300,76,365,10,375,6,297.5,105,350,0,,190,330
2016-03,Metro,5024,13,220,61,280,17,395,*,435,7,295,100,280,0,,*,380,35,430,25,500,*,272.5,65,450,0,,165,350
2016-03,Metro,5025,*,140,*,300,*,430,0,,*,245,10,320,0,,*,370,36,380,8,505,9,430,55,390,0,,65,385
2016-03,Metro,5031,*,215,29,280,*,322.5,0,,*,420,35,275,*,160,13,360,60,400,8,450,11,350,95,395,*,155,135,372.5
2016-03,Metro,5032,10,230,71,260,16,365,0,,*,250,100,260,*,220,11,310,34,417.5,8,515,9,365,65,390,0,,165,295
2016-03,Metro,5033,8,192.5,49,270,8,385,0,,*,245,70,260,0,,15,340,64,380,11,420,*,180,95,375,*,151.9,165,340
2016-03,Metro,5034,11,225,70,290,16,407.5,0,,*,290,100,290,0,,12,395,37,450,11,575,21,320,80,420,6,155,185,350
2016-03,Metro,5035,6,250,53,275,7,385,0,,9,300,75,280,*,340,7,380,28,420,*,510,*,330,45,385,*,160,120,320
2016-03,Metro,5037,8,215,54,260,15,395,*,440,9,255,90,260,0,,*,330,45,380,12,470,7,175,70,380,12,180,170,307.5
2016-03,Metro,5038,26,230,98,280,12,320,0,,14,205,150,265,*,250,32,340,65,380,11,420,8,315.5,120,370,7,150,275,295
2016-03,Metro,5039,11,250,37,270,7,320,0,,*,182,60,267.5,*,240,13,320,46,375,*,420,*,350,70,360,0,,130,302.5
2016-03,Metro,5040,0,,0,,0,,0,,0,,0,,0,,*,290,*,420,*,445,0,,5,420,0,,5,420
2016-03,Metro,5041,7,210,46,282.5,*,430,*,395,*,200,60,275,*,210,*,270,34,382.5,16,540,*,750,60,395,*,150,120,300
2016-03,Metro,5042,6,220,60,270,11,330,0,,9,215,85,270,*,160,8,295,55,365,11,390,16,237.5,95,350,9,155,190,294.25
2016-03,Metro,5043,50,160,136,255,49,300,0,,9,275,245,224.5,16,162.45,68,165.45,144,360,19,400,14,290.4,260,300,13,160,520,250
2016-03,Metro,5044,7,220,45,300,8,340,0,,6,162.5,65,295,0,,*,380,41,450,7,545,*,480,55,450,*,150,125,330
2016-03,Metro,5045,64,250,198,305,30,455,0,,13,300,305,305,9,215,17,400,51,440,11,700,7,165,95,420,*,250,400,330
2016-03,Metro,5046,*,235,41,290,*,340,0,,9,175,60,290,*,200,7,360,82,417.5,9,450,*,347.5,105,415,*,155,170,360
2016-03,Metro,5047,10,272.5,11,290,7,320,0,,7,200,35,280,*,250,*,207,77,390,10,445,15,170,110,382.5,7,200,150,350
2016-03,Metro,5048,*,215,51,300,9,400,0,,8,215,70,300,0,,6,377.5,63,400,8,520,7,310,85,400,0,,155,350
2016-03,Metro,5049,*,240,23,300,*,373.5,*,490,*,285,30,300,0,,*,310,34,385,12,487.5,7,310,55,390,0,,85,360
2016-03,Metro,5050,*,220,*,275,*,350,0,,0,,*,250,*,205,*,175,9,385,7,430,*,462.5,20,375,0,,25,355
2016-03,Metro,5051,0,,10,297.5,*,320,0,,*,280,10,297.5,0,,*,350,19,390,14,485,*,450,40,410,0,,50,385
2016-03,Metro,5052,*,300,*,125,0,,0,,*,175,*,175,0,,0,,10,385,13,495,0,,25,440,0,,30,422.5
2016-03,Metro,5061,26,250,54,317.5,16,455,*,585,*,305,100,310,*,480,17,395,30,490,8,757.5,*,450,60,460,*,190,165,350
2016-03,Metro,5062,7,245,50,282.5,*,355,0,,*,285,65,282.5,*,170,*,350,29,470,21,500,6,497.5,65,475,0,,130,350
2016-03,Metro,5063,13,250,61,330,17,450,0,,12,207.5,105,330,*,415,24,395,54,480,9,690,7,470,95,460,*,160,200,390
2016-03,Metro,5064,8,190,18,332.5,8,455,*,480,0,,35,320,0,,*,425,22,460,12,630,*,327.5,40,480,*,175,80,407.5
2016-03,Metro,5065,26,252.5,63,300,*,420,0,,*,250,100,295,0,,*,350,17,525,12,814.25,*,645,35,570,0,,135,310
2016-03,Metro,5066,*,275,21,300,*,400,0,,0,,25,300,*,375,*,385,24,460,14,615,*,575,45,497.5,0,,70,435
2016-03,Metro,5067,21,230,84,327.5,31,450,0,,15,310,150,340,*,320,30,400,50,490,9,650,7,260,100,450,41,195,290,360
2016-03,Metro,5068,6,240,88,300,11,415,*,105,6,350,110,300,0,,12,385,18,467.5,20,565,*,460,55,470,*,110,170,335
2016-03,Metro,5069,10,245,47,295,10,372.5,0,,11,255,80,290,*,259.5,14,357.5,21,495,14,590,6,255,55,430,0,,135,305
2016-03,Metro,5070,11,225,100,290,13,380,*,537.5,9,270,135,285,0,,11,340,57,400,13,520,11,360,90,402.5,15,173.6,240,310
2016-03,Metro,5071,*,285,0,,0,,0,,0,,*,285,0,,0,,0,,0,,0,,0,,0,,*,285
2016-03,Metro,5072,11,210,43,290,6,377.5,0,,*,260,60,280,*,157.5,13,320,51,395,15,470,*,300,90,390,*,80,150,320
2016-03,Metro,5073,*,230,38,270,*,330,*,240,7,285,55,270,*,190,*,300,65,385,12,430,15,350,100,380,*,80,155,340
2016-03,Metro,5074,*,197.5,24,272.5,8,305,0,,*,150,35,275,*,139,9,320,58,350,7,420,8,365,85,350,0,,120,320
2016-03,Metro,5075,0,,12,260,12,360,*,430,*,300,30,312.5,*,170,*,330,40,350,8,410,6,275,60,350,*,90,90,337.5
2016-03,Metro,5076,0,,*,290,*,250,0,,0,,*,270,0,,*,275,28,372.5,*,512.5,*,380,35,372.5,0,,40,365
2016-03,Metro,5081,17,170,61,365,13,435,0,,*,122.5,95,330,*,250,16,400,25,420,20,605,*,480,65,470,6,145,170,400
