Quarterperiodend,metro_restofstate,postcode,1BR_flats_count,1BR_flats_median$,2BR_flats_count,2BR_flats_median$,3BR_flats_count,3BR_flats_median$,4+BR_flats_count,4+BR_flats_median$,flats_unknown_count,flats_unknown_median$,total_flats_count,total_flats_median$,1BR_houses_count,1BR_houses_median$,2BR_houses_count,2BR_houses_median$,3BR_houses_count,3BR_houses_median$,4+BR_houses_count,4+BR_houses_median$,houses_unknown_count,houses_unknown_median$,total_houses_count,total_houses_median$,total_other_count,total_other_median$,total_all_count,total_all_median$
2016-12,Metro,5000,260,300,163,420,33,470,*,142.5,10,300,465,321,12,164.5,26,420,22,430,*,640,6,275,65,385,*,200,540,330
2016-12,Metro,5006,11,285,35,380,*,500,*,650,*,420,50,345,*,330,12,407.5,15,530,*,875,*,440,40,455,0,,90,400
2016-12,Metro,5007,*,350,42,380,16,442.5,0,,*,160,65,387.5,0,,14,307,26,420,*,500,12,160,55,390,*,160,125,385
2016-12,Metro,5008,*,220,15,250,*,450,0,,6,245,25,250,*,160,11,325,46,350,19,170,9,162,85,330,*,155,115,305
2016-12,Metro,5009,*,192.5,*,332.5,*,365,0,,*,300,10,315,0,,6,292.5,16,405,*,450,*,300,25,377.5,0,,35,367.5
2016-12,Metro,5010,0,,*,300,0,,0,,0,,*,300,*,130,0,,12,355,*,380,*,370,20,355,0,,20,350
2016-12,Metro,5011,*,235,34,310,*,400,*,260,*,112.5,45,300,0,,16,330,36,375,6,457.5,*,300,60,360,7,175.7,115,330
2016-12,Metro,5012,*,118.75,14,270,8,352.5,0,,*,170,25,300,0,,*,212.75,30,330,*,430,11,260,50,310,0,,75,300
2016-12,Metro,5013,0,,13,235,0,,0,,0,,15,235,0,,13,280,28,315,*,360,8,282.5,55,312.5,*,155,70,310
2016-12,Metro,5014,*,215,20,252.5,0,,0,,*,240,25,250,*,170,6,292.5,36,357.5,7,380,9,300,60,345,0,,85,310
2016-12,Metro,5015,24,285,17,320,*,395,0,,*,227.5,45,310,*,267.5,*,355,16,400,*,475,*,260,25,400,0,,75,322.5
2016-12,Metro,5016,*,225,18,285,*,230,0,,*,245,25,280,0,,7,300,17,385,*,550,*,300,30,355,0,,50,300
2016-12,Metro,5017,0,,0,,*,225,0,,0,,*,225,0,,*,260,15,340,*,420,0,,20,340,0,,20,340
2016-12,Metro,5018,0,,*,300,*,350,0,,0,,*,310,0,,*,500,12,372.5,0,,*,310,15,372.5,0,,20,360
2016-12,Metro,5019,*,240,23,295,*,355,0,,*,250,35,280,0,,*,255,16,380,*,600,*,275,25,370,0,,60,330
2016-12,Metro,5020,0,,*,340,*,375,0,,0,,5,357.5,0,,0,,6,440,*,650,*,365,10,440,0,,15,392.5
2016-12,Metro,5021,0,,10,305,8,407.5,0,,0,,20,385,0,,*,297.5,*,550,7,650,0,,15,527.5,0,,35,397.5
2016-12,Metro,5022,*,285,55,285,*,470,0,,*,250,70,290,*,220,*,300,20,477.5,19,650,*,280,45,550,0,,115,350
2016-12,Metro,5023,*,230,38,252.5,15,390,0,,6,148.35,60,275,*,124,7,290,58,380,6,395,6,360,80,360,0,,140,337.5
2016-12,Metro,5024,6,222.5,35,280,*,430,0,,*,315,50,282.5,0,,*,350,23,440,10,550,*,410,40,462.5,0,,90,355
2016-12,Metro,5025,*,140,6,265,*,430,0,,0,,10,265,0,,*,330,24,375,*,550,*,335,35,370,0,,40,350
2016-12,Metro,5031,*,189.5,18,280,*,387.5,0,,*,250,25,275,*,155,7,380,36,440,*,400,21,330,70,392.5,*,200,100,380
2016-12,Metro,5032,9,205,46,272.5,*,415,0,,10,230,70,260,*,179,*,320,28,372.5,*,447.5,*,365,40,370,*,160,110,290
2016-12,Metro,5033,9,173,31,275,*,305,0,,*,235,50,265,0,,7,335,20,400,*,390,*,390,35,390,*,122.85,85,295
2016-12,Metro,5034,*,220,39,295,8,377.5,*,290,*,225,55,295,*,200,11,390,12,480,*,667.5,*,500,30,452.5,0,,85,335
2016-12,Metro,5035,*,310,22,277.5,*,357.5,0,,9,270,35,272.5,*,150,*,365,19,430,*,520,*,420,30,427.5,0,,70,330
2016-12,Metro,5037,7,235,36,260,10,430,0,,*,345,55,275,*,170,*,174.4,22,390,0,,0,,25,375,6,162.5,85,290
2016-12,Metro,5038,15,220,55,285,*,355,0,,18,247.5,90,267.5,*,197.5,12,347.5,47,400,*,330,*,340,70,380,*,240,165,300
2016-12,Metro,5039,*,192.5,15,270,*,305,0,,*,157.35,20,265,0,,*,171.1,27,380,*,385,*,200,35,375,*,152.5,60,300
2016-12,Metro,5040,0,,0,,0,,0,,0,,0,,0,,*,280,*,485,0,,0,,*,417.5,0,,*,417.5
2016-12,Metro,5041,0,,27,280,*,310,0,,*,240,30,280,0,,*,266.4,13,425,*,447.5,*,425,25,425,0,,55,310
2016-12,Metro,5042,*,220,26,267.5,7,320,0,,*,250,35,275,0,,*,280,27,379,*,445,9,360,45,370,*,137.5,80,312.5
2016-12,Metro,5043,9,176,35,275,18,350,0,,7,176,70,275,*,170,20,238.1,56,395,7,450,*,130.1,95,360,*,140,165,325
2016-12,Metro,5044,*,220,20,297.5,*,340,*,240,*,230,30,295,0,,11,350,24,450,*,470,*,320,40,430,0,,70,350
2016-12,Metro,5045,38,252.5,134,300,35,480,0,,*,300,210,310,*,250,12,390,31,450,11,440,0,,55,440,0,,265,345
2016-12,Metro,5046,*,220,16,292.5,*,400,0,,*,220,25,290,*,165,6,365,31,380,7,420,*,210.1,50,380,*,167.5,80,350
2016-12,Metro,5047,*,220,*,270,*,340,0,,0,,10,260,*,150,*,246.8,55,395,7,420,13,237.9,80,385,*,150,90,380
