Quarterperiodend,metro_restofstate,postcode,1BR_flats_count,1BR_flats_median$,2BR_flats_count,2BR_flats_median$,3BR_flats_count,3BR_flats_median$,4+BR_flats_count,4+BR_flats_median$,flats_unknown_count,flats_unknown_median$,total_flats_count,total_flats_median$,1BR_houses_count,1BR_houses_median$,2BR_houses_count,2BR_houses_median$,3BR_houses_count,3BR_houses_median$,4+BR_houses_count,4+BR_houses_median$,houses_unknown_count,houses_unknown_median$,total_houses_count,total_houses_median$,total_other_count,total_other_median$,total_all_count,total_all_median$
2019-06,Metro,5000,547,325,214,440,48,572.5,0,,20,480,830,355,40,164.5,49,430,39,450,8,510,*,275,140,400,32,230,1000,355
2019-06,Metro,5006,24,310,46,350,15,470,0,,6,270,90,350,*,255,12,452.5,18,510,11,670,*,610,45,507.5,10,237.5,145,390
2019-06,Metro,5007,9,350,41,400,15,440,0,,6,180,70,400,*,137.5,19,335,31,410,*,525,10,172.5,65,360,*,130,140,385
2019-06,Metro,5008,*,150,18,300,*,360,*,520,6,260,35,300,7,175,15,300,55,365,13,160,9,345,100,350,*,295,135,330
2019-06,Metro,5009,*,220,6,319.5,6,382.5,0,,0,,15,340,0,,8,310,18,365,*,460,*,150,30,355,*,212.5,45,347.5
2019-06,Metro,5010,*,290,6,295,*,335,0,,*,247.5,10,295,0,,0,,21,390,*,455,*,420,25,390,*,200,40,365
2019-06,Metro,5011,*,237.5,48,300,16,395,0,,*,270,75,325,*,280,19,360,47,390,10,450,12,365,90,375,10,200.125,170,352.5
2019-06,Metro,5012,*,170,32,257.5,13,360,0,,*,285,50,287.5,0,,9,300,25,375,10,420,14,280,60,345,0,,105,320
2019-06,Metro,5013,*,168,19,250,*,282.5,0,,*,260,25,260,0,,11,174.05,34,350,*,415,*,337.5,50,340,*,190,75,295
2019-06,Metro,5014,*,205,30,280,*,350,0,,*,280,35,280,*,125.45,12,312.5,33,380,*,450,7,310,55,350,*,150,95,330
2019-06,Metro,5015,15,295,15,315,7,380,0,,*,275,40,300,*,275,*,290,25,420,0,,*,300,30,405,0,,75,350
2019-06,Metro,5016,*,215.5,21,280,*,320,0,,0,,25,285,0,,9,340,28,397.5,*,407.5,*,350,45,395,0,,70,350
2019-06,Metro,5017,0,,*,260,0,,0,,*,286.15,*,260,0,,*,320,24,385,*,472.5,*,280,35,375,0,,40,367.5
2019-06,Metro,5018,0,,9,335,0,,0,,0,,10,335,0,,0,,14,440,*,440,*,440,15,440,0,,25,405
2019-06,Metro,5019,7,225,35,295,*,415,*,672.5,*,285,50,295,*,150,*,342.5,35,390,*,550,8,357.5,55,388,*,170,105,350
2019-06,Metro,5020,0,,*,372.5,*,367.5,0,,*,345,10,350,0,,*,400,8,407.5,0,,0,,10,407.5,0,,20,395
2019-06,Metro,5021,0,,7,410,7,440,0,,0,,15,420,0,,9,315,7,480,7,650,0,,25,425,0,,35,425
