Quarterperiodend,metro_restofstate,postcode,1BR_flats_count,1BR_flats_median$,2BR_flats_count,2BR_flats_median$,3BR_flats_count,3BR_flats_median$,4+BR_flats_count,4+BR_flats_median$,flats_unknown_count,flats_unknown_median$,total_flats_count,total_flats_median$,1BR_houses_count,1BR_houses_median$,2BR_houses_count,2BR_houses_median$,3BR_houses_count,3BR_houses_median$,4+BR_houses_count,4+BR_houses_median$,houses_unknown_count,houses_unknown_median$,total_houses_count,total_houses_median$,total_other_count,total_other_median$,total_all_count,total_all_median$
2018-12,Metro,5000,706,325,247,440,40,562.5,*,560,19,250,1015,340,24,164.5,38,410,41,460,*,315,*,350,110,420,22,185,1145,345
2018-12,Metro,5006,27,320,43,350,*,430,0,,7,200,80,327.5,*,330,16,450,24,522.5,9,540,*,495,55,490,*,257.5,135,380
2018-12,Metro,5007,14,340,58,395,19,420,0,,*,130,95,395,0,,23,310,30,430,*,495,*,269.5,60,395,12,187.5,165,390
2018-12,Metro,5008,0,,12,302.5,6,387.5,*,500,7,250,25,312.5,*,170,10,320,63,365,11,380,13,300,100,360,6,190,130,350
2018-12,Metro,5009,0,,9,300,8,380,0,,0,,15,360,*,2,10,310,21,350,*,470,*,325,40,340,0,,55,350
2018-12,Metro,5010,0,,*,260,0,,0,,*,270,5,260,0,,0,,17,385,*,412.5,0,,20,385,*,170,30,367.5
2018-12,Metro,5011,*,285,42,300,10,390,0,,*,260,55,310,*,250,20,350,54,395,*,422.5,*,420,80,377.5,7,164.85,145,350
2018-12,Metro,5012,*,168.125,26,270,15,395,0,,8,245,55,280,0,,12,250,45,350,8,400,15,300,80,320,*,160,135,305
2018-12,Metro,5013,*,265,13,235,*,290,0,,*,300,15,245,*,230,9,221.5,24,325,8,407.5,*,420,45,325,0,,65,285
2018-12,Metro,5014,*,185,25,258.9,*,430,*,150,*,240,35,250,*,227.5,10,340,38,372.5,*,485,13,300,65,350,0,,100,325
2018-12,Metro,5015,14,300,27,345,6,435,0,,*,260,50,325,*,240,9,370,34,390,6,475,*,150,55,390,0,,105,350
2018-12,Metro,5016,7,240,11,280,*,299.5,0,,*,250,25,280,0,,10,315,23,380,*,420,0,,40,380,0,,60,340
2018-12,Metro,5017,*,220,*,240,*,290,0,,0,,*,240,0,,*,201.9,19,335,*,443.5,0,,25,332.5,0,,30,325
2018-12,Metro,5018,0,,*,340,*,400,0,,*,260,10,345,0,,*,340,9,450,*,450,0,,15,430,0,,20,380
2018-12,Metro,5019,*,320,36,295,10,432.5,0,,*,302.5,55,320,0,,7,350,43,450,8,422.5,*,340,65,410,*,170,115,350
2018-12,Metro,5020,0,,*,340,*,320,0,,0,,*,330,0,,0,,*,462.5,*,600,0,,*,475,0,,10,415
2018-12,Metro,5021,0,,*,345,9,520,0,,*,430,15,455,0,,6,295,9,550,7,650,0,,20,545,0,,35,460
2018-12,Metro,5022,6,250,60,310,8,650,0,,7,285,80,310,*,250,6,410,29,480,9,795,*,650,45,482.5,0,,125,355
2018-12,Metro,5023,*,215,45,275,9,410,0,,*,267.5,60,277.5,*,76.325,7,350,86,380,*,427.5,6,259.7,105,370,0,,165,335
2018-12,Metro,5024,8,227.5,37,290,8,510,0,,6,315,60,290,0,,*,460,37,460,14,580,*,380,55,465,0,,115,370
2018-12,Metro,5025,6,186.3,9,270,*,350,0,,0,,20,260,0,,*,362.5,29,430,6,475,7,320,45,425,0,,65,375
2018-12,Metro,5031,*,252.5,14,312.5,8,392.5,0,,*,270,30,320,*,177.2,11,360,35,400,13,475,*,274.4,65,400,*,150,100,380
2018-12,Metro,5032,6,235,38,285,8,390,0,,7,265,60,285,*,330,11,330,52,400,9,495,*,350,80,395,0,,135,350
2018-12,Metro,5033,*,240,25,275,*,365,0,,8,217,40,275,*,310,13,330,38,400,10,450,8,299,70,400,*,140,110,330
2018-12,Metro,5034,6,225,54,300,7,375,0,,*,312.5,70,300,*,275,12,400,14,485,9,740,*,370,40,460,*,150,115,330
2018-12,Metro,5035,7,270,53,300,9,330,0,,*,300,75,290,*,325,10,360,13,430,6,525,*,84.8,35,400,*,190,110,310
2018-12,Metro,5037,14,206.5,29,285,11,445,0,,7,185,60,270,0,,*,340,39,415,*,550,9,390,55,395,*,130,120,340
2018-12,Metro,5038,17,235,70,280,8,382.5,0,,7,255,100,280,0,,18,340,78,420,18,495,10,350,125,395,7,222.7,235,340
