Quarterperiodend,metro_restofstate,postcode,1BR_flats_count,1BR_flats_median$,2BR_flats_count,2BR_flats_median$,3BR_flats_count,3BR_flats_median$,4+BR_flats_count,4+BR_flats_median$,flats_unknown_count,flats_unknown_median$,total_flats_count,total_flats_median$,1BR_houses_count,1BR_houses_median$,2BR_houses_count,2BR_houses_median$,3BR_houses_count,3BR_houses_median$,4+BR_houses_count,4+BR_houses_median$,houses_unknown_count,houses_unknown_median$,total_houses_count,total_houses_median$,total_other_count,total_other_median$,total_all_count,total_all_median$
2012-12,Metro,5000,117,275,150,420,24,430,*,259,166,265,460,320,11,300,37,420,14,487.5,*,160,33,395,100,400,37,200,595,329
2012-12,Metro,5006,17,260,36,337.5,8,400,0,,29,360,90,322.5,*,300,20,390,14,465,*,510,16,465,55,432.5,0,,145,375
2012-12,Metro,5007,*,118,9,240,*,400,0,,22,350,35,312.5,0,,15,360,28,365,*,410,17,390,60,370,0,,100,357.5
2012-12,Metro,5008,*,122.5,19,240,*,340,0,,13,235,40,250,*,140,10,297.5,41,330,6,340,29,315,85,320,0,,125,300
2012-12,Metro,5009,0,,*,250,*,330,0,,*,250,10,250,*,200,9,300,15,345,*,372.5,8,220,35,305,0,,50,292.5
2012-12,Metro,5010,*,150,*,260,0,,0,,*,210,5,215,*,116.5,0,,8,352.5,*,360,6,310,15,330,0,,25,300
2012-12,Metro,5011,*,220,16,262.5,*,360,0,,9,210,30,260,0,,6,302.5,28,350,*,380,21,350,60,347.5,18,185,105,305
2012-12,Metro,5012,*,350,14,260,10,340,0,,13,230,40,267.5,0,,12,265,20,305,*,550,26,295,60,290,*,165,100,290
2012-12,Metro,5013,*,180,15,240,*,285,0,,*,200,20,235,0,,*,260,24,300,*,320,20,300,50,300,0,,70,280
2012-12,Metro,5014,*,220,24,255,*,320,0,,6,195,35,245,*,240,21,280.85,22,355,0,,28,300,70,300,0,,110,280.85
2012-12,Metro,5015,13,295,18,292.5,*,264.5,0,,17,280,50,290,*,230,*,272.5,19,360,*,410,15,390,45,347.5,0,,95,307.5
2012-12,Metro,5016,6,205,15,260,*,290,0,,*,280,25,260,0,,8,300,21,360,*,530,20,350,55,350,0,,80,310
2012-12,Metro,5017,0,,*,240,0,,0,,0,,*,240,0,,*,220,16,310,0,,11,320,30,310,0,,30,305
2012-12,Metro,5018,*,208.5,*,335,0,,0,,*,317.5,10,317,0,,0,,9,360,*,450,7,370,20,370,0,,30,355
2012-12,Metro,5019,9,200,27,255,*,370,0,,27,260,70,252.5,*,400,*,295,26,395,10,522.5,14,325,55,380,0,,125,300
2012-12,Metro,5020,0,,*,380,*,350,0,,*,290,5,330,0,,*,350,6,435,*,495,*,395,15,420,0,,20,420
2012-12,Metro,5021,0,,11,360,8,460,0,,8,387.5,25,375,0,,9,300,12,495,7,540,7,495,35,490,0,,60,445
2012-12,Metro,5022,9,230,71,280,12,465,*,825,17,285,110,285,0,,*,370,42,442.5,16,635,17,360,80,450,0,,190,345
2012-12,Metro,5023,0,,32,250,12,380,*,420,9,350,55,270.25,0,,8,292.5,47,350,8,355,30,310,95,320,0,,145,310
2012-12,Metro,5024,6,225,49,260,8,397.5,0,,23,250,85,260,0,,6,295,30,400,9,600,19,350,65,387.5,0,,150,300
2012-12,Metro,5025,*,312.5,*,250,*,355,0,,*,230,10,290,0,,*,305,23,350,*,410,10,335,40,345,0,,55,330
2012-12,Metro,5031,6,222.5,11,260,*,350,0,,14,190,35,255,*,367.5,11,300,34,367.5,7,460,24,345,80,350,0,,110,327.5
2012-12,Metro,5032,9,220,36,252.5,*,327.5,0,,22,220,70,250,0,,8,315,31,370,*,400,9,395,50,370,0,,125,300
2012-12,Metro,5033,*,240,17,255,*,370,0,,21,250,50,250,*,100,*,250,25,340,0,,16,340,45,320,*,185,95,284
2012-12,Metro,5034,6,222.5,34,290,6,462.5,*,470,37,285,85,290,0,,8,375,17,450,*,555,16,390,45,410,0,,125,320
2012-12,Metro,5035,6,237.5,37,280,10,325,*,400,23,260,75,280,0,,*,280,14,360,*,470,9,385,30,385,0,,105,300
2012-12,Metro,5037,6,195,28,265,6,400,0,,25,240,65,250,*,135,8,320,31,350,*,470,18,320,60,350,0,,125,300
2012-12,Metro,5038,17,200,50,260,7,325,0,,29,260,105,260,0,,15,300,48,365,*,460,25,350,95,350,*,157,200,300
2012-12,Metro,5039,*,230,11,255,*,317.5,0,,7,245,25,250,*,175,*,320,23,355,*,470,17,325,50,350,0,,75,310
2012-12,Metro,5040,0,,0,,0,,0,,0,,0,,0,,0,,*,420,0,,0,,*,420,0,,*,420
2012-12,Metro,5041,*,245,20,280,0,,0,,16,260,40,267.5,*,270,*,345,14,375,8,447.5,14,435,40,390,0,,80,320
2012-12,Metro,5042,*,210,30,240,*,340,0,,14,247.5,50,245,*,130,11,305,31,360,11,410,21,300,75,350,*,140,130,295
2012-12,Metro,5043,*,200,39,265,14,350,0,,28,255,85,265,*,167.5,8,275,63,350,6,390,37,325,115,340,*,170,205,300
2012-12,Metro,5044,8,185,15,290,*,315,0,,18,300,45,290,*,200,8,345,22,392.5,*,520,17,380,55,390,0,,100,340
2012-12,Metro,5045,45,250,125,300,30,422.5,0,,55,295,255,305,*,185,15,350,37,400,6,600,14,390,75,390,0,,330,330
2012-12,Metro,5046,*,197.5,19,280,*,370,0,,7,295,30,295,*,350,7,300,28,355,*,410,18,350,60,350,0,,90,330
2012-12,Metro,5047,0,,*,300,*,345,0,,6,267.5,15,275,0,,*,310,48,340,7,450,29,310,85,332,0,,100,330
2012-12,Metro,5048,*,295,32,270,*,400,0,,14,280,55,280,*,170,*,330,40,385,10,480,24,380,80,390,0,,135,350
2012-12,Metro,5049,0,,17,280,*,415,*,1000,8,260,30,280,0,,*,282.5,23,365,*,455,11,360,45,360,0,,70,330
2012-12,Metro,5050,0,,*,247.5,*,360,0,,*,290,*,275,*,270,*,307.5,8,365,*,550,*,190,15,315,0,,20,300
2012-12,Metro,5051,*,225,9,290,0,,*,420,*,275,15,280,*,125,*,270,22,385,12,462.5,10,420,45,400,0,,60,380
2012-12,Metro,5052,*,160,0,,*,350,0,,0,,*,255,0,,*,310,10,355,0,,*,350,15,350,0,,15,350
2012-12,Metro,5061,8,255,27,310,*,450,*,300,15,320,55,310,*,250,*,365,16,490,7,795,24,467.5,55,490,0,,110,370
2012-12,Metro,5062,*,222.5,34,280,*,250,0,,8,270,45,275,*,240,8,335,14,360,8,550,15,430.5,45,430,0,,95,300
2012-12,Metro,5063,9,250,35,320,7,390,0,,27,330,80,330,*,220,11,340,24,467.5,*,495,25,470,65,427.5,0,,145,370
2012-12,Metro,5064,*,212.5,6,325,*,337.5,0,,*,322.5,15,312.5,0,,*,400,13,425,8,655,20,457.69,45,450,0,,60,450
2012-12,Metro,5065,15,250,23,300,*,395,0,,21,265,65,285,0,,*,350,9,440,8,655,14,522.5,35,455,0,,100,300
2012-12,Metro,5066,*,247.5,10,270,0,,0,,*,260,15,260,*,220,*,340,18,455,6,612.5,19,450,50,450,0,,60,420
2012-12,Metro,5067,13,245,43,300,16,445,*,595,26,317.5,100,310,*,125,18,382.5,26,450,*,622.5,30,397.5,80,400,0,,180,370
2012-12,Metro,5068,*,202.5,46,290,*,330,*,340,22,297.5,75,290,0,,9,350,22,430,8,490,13,480,50,422.5,0,,130,320
2012-12,Metro,5069,*,210,21,265,*,462.5,0,,14,270,40,265,0,,6,295,12,410,*,500,16,325,40,400,0,,80,285
2012-12,Metro,5070,10,215,49,270.75,10,352.5,0,,31,280,100,275,*,190,*,310,27,360,*,500,24,347.5,60,350,14,165,175,290
2012-12,Metro,5072,*,222.5,13,300,*,375,0,,16,287.5,35,295,0,,6,337.5,16,350,*,395,30,355,55,350,0,,95,330
2012-12,Metro,5073,*,200,27,270,*,320,0,,14,252.5,45,267.5,0,,*,285,45,340,7,430,25,350,80,350,0,,125,300
2012-12,Metro,5074,*,187.5,15,256,6,347.5,0,,14,262.5,35,256,0,,8,297.5,40,342.5,*,337.5,31,310,80,310,0,,120,300
2012-12,Metro,5075,0,,8,190,*,280,0,,8,129.15,20,190,0,,*,297.5,22,352.5,*,400,16,312.5,45,330,0,,65,310
2012-12,Metro,5076,0,,0,,*,300,0,,*,260,*,280,0,,*,287.5,9,330,*,407.5,11,350,25,337.5,0,,30,332.5
2012-12,Metro,5081,*,235,20,280,*,340,*,490,*,245,30,280,0,,6,347.5,15,495,*,480,11,420,35,430,0,,70,350
2012-12,Metro,5082,8,225,26,265,8,395,*,390,15,260,60,265,*,290,10,325,36,387.5,7,420,23,360,80,360,0,,135,320
2012-12,Metro,5083,*,184.1,25,265,*,290,0,,9,265,40,265,*,230,6,280,17,360,*,435,16,330,45,340,0,,80,282.5
2012-12,Metro,5084,0,,6,240,*,292.5,0,,10,245,20,240,*,160,8,260,28,320,12,234.95,39,290,90,297.5,0,,105,280
2012-12,Metro,5085,*,230,16,265,*,360,0,,8,220,30,250,0,,9,320,94,347.5,11,420,52,310,165,340,0,,195,330
2012-12,Metro,5086,*,207.5,15,240,*,300,0,,12,268.22,30,245,*,182.5,*,275,63,345,8,405,42,302.5,120,337.5,0,,150,315
2012-12,Metro,5087,*,200,38,250,*,330,0,,18,230,60,250,0,,7,260,36,345,7,410,38,297.5,90,320,0,,150,270
2012-12,Metro,5088,0,,*,240,0,,0,,*,250,5,245,0,,*,260,11,300,0,,10,275,20,290,0,,30,280
2012-12,Metro,5089,0,,*,275,*,357.5,0,,*,290,*,290,0,,*,270,7,350,*,405,9,310,20,330,0,,25,330
2012-12,Metro,5090,0,,8,267.5,*,295,0,,*,265,15,265,*,190,*,250,6,290,*,422.5,7,300,20,300,0,,35,280
2012-12,Metro,5091,*,172.5,*,270,0,,0,,0,,*,220,0,,*,285,12,300,*,375,*,300,20,300,0,,25,300
2012-12,Metro,5092,0,,12,260,6,240,0,,11,210,30,251,*,195,*,255,40,305,*,385,24,310,70,310,0,,100,300
2012-12,Metro,5093,*,175,13,230,0,,0,,*,210,15,225,0,,*,310,22,300,*,367.5,19,295,45,300,0,,60,285
2012-12,Metro,5094,0,,0,,0,,0,,*,920,*,920,0,,0,,*,305,0,,*,310,*,310,0,,*,310
2012-12,Metro,5095,*,192.5,78,300,28,360,0,,27,270,135,300,*,232.5,19,300,95,360,31,450,39,330,190,360,0,,325,330
2012-12,Metro,5096,0,,10,243,*,285,0,,*,240,15,245,0,,*,257.5,25,280,11,365,34,295,75,295,0,,90,280
2012-12,Metro,5097,0,,8,250,*,350,0,,8,255,15,260,0,,*,285,30,320,*,350,13,320,50,320,0,,70,310
2012-12,Metro,5098,*,217.5,0,,*,300,0,,*,100.265,*,210,0,,*,235,30,302.5,*,440,20,290,55,300,0,,60,295
2012-12,Metro,5107,0,,*,240,0,,*,350,*,310,5,260,*,200,*,257.5,41,290,8,330,35,280,85,290,0,,95,290
2012-12,Metro,5108,6,205,44,220,16,270,0,,45,200,110,220,*,175,11,210,112,270,13,315,121,270,260,270,0,,370,260
2012-12,Metro,5109,*,185,20,247.5,12,270,0,,20,197.5,55,255,*,125,*,310,30,287.5,*,330,45,285,80,285,0,,135,275
2012-12,Metro,5110,0,,*,97.5,*,330,0,,*,280,5,260,0,,*,275,20,300,*,308.3,20,265,45,290,0,,50,285
2012-12,Metro,5112,13,110,28,178.5,0,,0,,15,187,55,184.2,0,,6,210,95,250,7,320,69,210,175,236,*,174,235,206
2012-12,Metro,5113,7,150,8,170,*,272.5,0,,16,170,35,170,*,275,12,197.5,144,230,8,285,119,225,285,230,*,150,320,221
2012-12,Metro,5114,*,121,*,215,*,275,0,,11,163,20,189,0,,15,232,156,270,51,320,164,266,385,270,0,,405,270
2012-12,Metro,5115,0,,0,,10,275,0,,9,270,20,270,0,,*,260,81,280,18,312.5,64,275,165,280,*,270,185,280
2012-12,Metro,5117,0,,0,,0,,0,,0,,0,,0,,0,,*,322.5,0,,0,,*,322.5,0,,*,322.5
2012-12,Metro,5118,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,*,200,*,200,0,,*,200
2012-12,Metro,5120,0,,0,,0,,0,,0,,0,,0,,0,,0,,*,450,*,305,5,390,0,,5,390
2012-12,Metro,5121,0,,0,,0,,0,,0,,0,,0,,0,,*,200,0,,0,,*,200,0,,*,200
2012-12,Metro,5125,0,,*,285,11,300,0,,*,275,20,300,*,240,*,285,35,330,8,425,24,350,70,340,0,,85,340
2012-12,Metro,5126,0,,*,247.5,0,,0,,*,285,*,250,*,247.5,0,,10,320,*,340,*,345,20,320,0,,20,320
2012-12,Metro,5127,0,,*,270,*,310,0,,6,290,10,290,0,,0,,7,320,*,360,8,375,15,335,0,,25,310
