Quarterperiodend,metro_restofstate,postcode,1BR_flats_count,1BR_flats_median$,2BR_flats_count,2BR_flats_median$,3BR_flats_count,3BR_flats_median$,4+BR_flats_count,4+BR_flats_median$,flats_unknown_count,flats_unknown_median$,total_flats_count,total_flats_median$,1BR_houses_count,1BR_houses_median$,2BR_houses_count,2BR_houses_median$,3BR_houses_count,3BR_houses_median$,4+BR_houses_count,4+BR_houses_median$,houses_unknown_count,houses_unknown_median$,total_houses_count,total_houses_median$,total_other_count,total_other_median$,total_all_count,total_all_median$
2014-03,Metro,5000,162,295,187,440,34,535,*,642.5,178,345,565,385,13,223,47,420,24,500,*,540,30,435,115,425,6,192.5,685,390
2014-03,Metro,5006,19,290,50,342.5,12,450,*,625,33,320,115,340,6,305,18,430,17,440,*,825,24,430,70,430,*,197,185,365
2014-03,Metro,5007,*,295,7,310,9,445,0,,12,280,30,340,6,155,28,350,29,385,7,450,24,360,95,360,0,,125,360
2014-03,Metro,5008,*,200,24,270,*,342.5,0,,14,262.5,45,265,*,127.5,*,350,50,350,*,460,46,320,110,337.5,0,,150,307.5
2014-03,Metro,5009,0,,*,240,0,,0,,*,270,5,262.5,0,,8,280,12,325,7,450,9,350,35,325,0,,40,315
2014-03,Metro,5010,*,230,*,230,*,300,0,,0,,10,230,0,,*,310,8,350,*,390,6,345,20,350,0,,30,325
2014-03,Metro,5011,*,210,27,260,9,370,0,,10,275,50,270,0,,*,290,36,352.5,*,415,18,335,60,350,*,225.85,115,300
2014-03,Metro,5012,0,,15,260,14,350,0,,18,235,45,265,0,,*,267.5,26,327.5,*,150,30,307.5,65,320,0,,110,300
2014-03,Metro,5013,0,,16,240,*,205,0,,8,245,25,240,*,200,6,275,19,320,*,340,20,292.5,50,295,0,,75,270
2014-03,Metro,5014,*,200,17,260,0,,0,,15,250,35,250,*,180,8,300,22,320,*,375,27,320,60,310,0,,95,285
2014-03,Metro,5015,12,292.5,16,345,*,475,0,,25,290,55,300,*,300,*,290,19,400,*,415,25,295,50,342.5,0,,105,312.5
2014-03,Metro,5016,*,210,8,292.5,0,,0,,14,250,25,270,*,250,8,320,19,385,*,550,21,324,50,350,0,,75,320
2014-03,Metro,5017,0,,*,223,0,,0,,*,180,*,180,0,,0,,17,330,*,357.5,12,269,30,310,0,,35,297.5
2014-03,Metro,5018,0,,*,290,*,360,0,,*,322.5,10,307.5,0,,*,372.5,10,385,*,180,9,380,25,380,0,,35,360
2014-03,Metro,5019,*,242.5,24,292.5,*,257.5,*,672.5,20,260,55,282.5,0,,6,302.5,24,355,6,435,10,350,45,355,0,,100,312.5
2014-03,Metro,5020,0,,*,320,*,302.5,0,,0,,*,305,0,,0,,*,450,*,380,*,447.5,10,435,0,,15,380
2014-03,Metro,5021,0,,6,385,*,430,0,,9,310,20,375,0,,7,300,6,425,6,600,15,410,35,392.5,0,,50,377.5
2014-03,Metro,5022,10,235,65,295,*,460,0,,13,270,90,285,*,230,9,350,43,450,20,565,23,360,95,450,0,,190,350
2014-03,Metro,5023,*,170,26,257.5,12,390,0,,19,235,60,261.25,*,122.5,8,300,35,350,*,380,28,337.5,80,345,0,,135,310
2014-03,Metro,5024,*,210,38,267.5,6,402.5,*,250,19,295,65,285,*,110,*,320,27,395,12,392.5,15,450,60,410,0,,125,340
2014-03,Metro,5025,*,130,6,255,*,385,0,,*,415,15,297.5,0,,*,345,22,380,8,415,8,400,40,385,0,,60,365
2014-03,Metro,5031,*,250,16,255,6,319.5,0,,14,270,40,270,*,120,12,345,44,397.5,12,455,37,330,105,375,*,165,145,350
2014-03,Metro,5032,7,195,48,252.5,*,360,0,,25,280,80,257.5,*,315,9,340,25,380,10,475,17,320,65,370,*,172,150,290
2014-03,Metro,5033,8,182.5,33,250,6,342.5,0,,22,255,70,245,*,222.5,*,350,34,382.5,*,530,19,345,60,350,*,199,130,283
2014-03,Metro,5034,*,270,41,300,7,450,*,530,39,280,95,300,0,,9,360,25,480,7,590,16,220,55,440,0,,150,330
2014-03,Metro,5035,8,282.5,39,280,*,310,0,,29,280,80,280,0,,*,260,8,417.5,*,550,11,360,30,400,0,,110,290
2014-03,Metro,5037,11,220,36,260,6,385,*,207.5,27,245,80,250,0,,*,300,27,390,*,420,18,362.5,55,380,0,,135,292.5
2014-03,Metro,5038,8,200,65,270,7,330,0,,36,262.5,115,265,*,200,22,300,35,360,9,470,44,340,110,350,*,155,230,295
2014-03,Metro,5039,*,190,16,250,*,330,0,,13,250,35,250,*,125,*,380,19,365,*,300,26,350,55,350,0,,90,302.5
2014-03,Metro,5040,0,,0,,0,,0,,0,,0,,0,,0,,*,392.5,*,330,*,135,*,332.5,0,,*,332.5
2014-03,Metro,5041,*,220,25,270,*,290,*,350,16,285,45,275,*,240,10,300,22,370,9,520,25,350,65,360,*,115,115,300
2014-03,Metro,5042,*,240,52,260,*,295,0,,28,260,85,260,*,175,6,305,46,362.5,8,242.5,20,335,80,350,*,140,170,280
2014-03,Metro,5043,6,165,42,282.5,11,365,*,360,44,270,105,280,*,220,15,270,67,380,11,360,47,320,140,350,*,160,245,305
2014-03,Metro,5044,17,190,22,297.5,*,330,0,,15,320,55,280,*,325,*,360,30,407.5,6,750,16,395,60,407.5,0,,115,330
2014-03,Metro,5045,34,280,132,300,22,435,*,630,61,290,250,300,*,190,13,340,47,440,6,707.5,18,392.5,85,420,*,750,340,335
2014-03,Metro,5046,*,215,24,302.5,*,325,0,,7,330,40,312.5,*,212.5,7,380,40,380,*,490,39,300,90,367.5,0,,130,330
2014-03,Metro,5047,*,265,*,285,*,330,0,,*,310,10,315,0,,*,362.5,41,360,6,425,35,340,85,362.5,0,,100,350
2014-03,Metro,5048,*,195,32,295,12,407.5,*,700,18,320,65,320,0,,10,355,40,387.5,14,530,42,345,105,375,0,,170,350
2014-03,Metro,5049,*,207.5,10,297.5,*,430,0,,*,300,20,295,0,,*,280,16,377.5,8,410,20,325,45,350,0,,70,335
2014-03,Metro,5050,*,200,0,,0,,0,,*,220,*,220,0,,*,300,8,380,*,425,*,367.5,15,385,0,,20,350
2014-03,Metro,5051,0,,16,280,*,320,0,,*,290,20,280,*,200,*,325,23,375,6,450,13,320,50,352,0,,70,315
2014-03,Metro,5052,0,,0,,*,360,0,,0,,*,360,0,,*,285,6,355,6,435,*,395,20,355,0,,25,360
2014-03,Metro,5061,8,252.5,41,320,7,420,0,,17,350,75,320,*,430,10,377.5,14,485,9,950,20,482.5,55,480,0,,125,365
2014-03,Metro,5062,*,220,17,270,*,355,*,180,16,237.5,45,250,*,250,*,380,14,470,14,475,25,440,55,440,0,,100,350
2014-03,Metro,5063,14,245,37,330,8,517.5,0,,27,295,85,305,*,310,20,417.5,28,457.5,7,620,27,480,85,460,0,,170,380
2014-03,Metro,5064,*,190,17,310,*,420,*,580,*,192.5,30,310,0,,*,347.5,17,420,8,670,10,420,40,420,0,,70,377.5
