Quarterperiodend,metro_restofstate,postcode,1BR_flats_count,1BR_flats_median$,2BR_flats_count,2BR_flats_median$,3BR_flats_count,3BR_flats_median$,4+BR_flats_count,4+BR_flats_median$,flats_unknown_count,flats_unknown_median$,total_flats_count,total_flats_median$,1BR_houses_count,1BR_houses_median$,2BR_houses_count,2BR_houses_median$,3BR_houses_count,3BR_houses_median$,4+BR_houses_count,4+BR_houses_median$,houses_unknown_count,houses_unknown_median$,total_houses_count,total_houses_median$,total_other_count,total_other_median$,total_all_count,total_all_median$
2017-09,Metro,5000,452,295,326,440,89,520,*,1000,14,310,880,349,27,160,40,450,43,480,8,445,19,230,135,415,26,205,1045,350
2017-09,Metro,5006,22,290,54,375,12,620,0,,*,250,95,350,*,350,21,430,25,530,11,750,9,265.72,70,495,*,225,165,395
2017-09,Metro,5007,10,272.5,66,390,17,435,0,,*,200,95,390,*,215,17,320,41,430,*,250.9,7,330,70,390,*,172.5,170,390
2017-09,Metro,5008,*,212.5,23,280,9,350,0,,8,265,45,277.5,12,158.5,24,300,66,372.5,25,155,8,194.3,135,310,6,180,185,295
2017-09,Metro,5009,*,130,8,285,*,345,0,,*,232.5,20,275,0,,*,310,13,380,6,585,*,127.5,25,390,0,,45,310
2017-09,Metro,5010,0,,*,260,*,347.5,0,,0,,*,290,*,130,*,255,14,337.5,0,,*,188.6,20,330,*,160,30,310
2017-09,Metro,5011,*,240,52,295,13,349.6,*,495,*,270,75,300,0,,24,337.5,77,395,*,495,10,330,115,365,*,175,190,335
2017-09,Metro,5012,*,176,36,272.5,14,362.5,0,,16,242.5,65,270,*,355,*,275,42,360,6,405,19,280,75,310,*,150,140,300
2017-09,Metro,5013,*,145,21,245,*,280,0,,9,260,35,250,*,95.275,9,270,35,350,*,410,12,310,60,330,*,165,95,300
2017-09,Metro,5014,6,180,22,272.5,*,395,0,,*,180,35,267.5,*,310,9,320,28,340,7,400,13,220,60,330,0,,90,320
2017-09,Metro,5015,21,290,19,310,8,360,0,,0,,50,300,*,207.5,13,300,23,400,0,,*,310,40,350,0,,90,320
2017-09,Metro,5016,*,176,15,290,*,380,0,,*,265,20,282.5,0,,10,295,42,392.5,*,595,*,300,60,382.5,0,,80,345
2017-09,Metro,5017,*,225,*,255,0,,0,,0,,*,235,0,,*,178.5,22,350,*,377.5,*,290,30,350,0,,30,350
2017-09,Metro,5018,0,,*,295,*,315,0,,0,,5,315,0,,0,,15,360,*,435,0,,20,380,0,,25,340
2017-09,Metro,5019,6,215,24,280,*,475,*,650,*,265,40,280,*,310,6,340,22,392.5,9,475,*,165,40,385,0,,80,320
2017-09,Metro,5020,0,,*,385,*,362.5,*,360,0,,5,360,0,,*,390,*,442.5,*,497.5,0,,5,390,0,,15,387.5
2017-09,Metro,5021,*,335,8,325,10,337.5,0,,0,,20,330,0,,7,285,9,450,*,710,0,,20,390,0,,40,340
2017-09,Metro,5022,9,246.7,70,297.5,8,692.5,0,,6,255,95,295,*,185,*,390,44,450,20,640,*,395,70,505,0,,165,380
2017-09,Metro,5023,*,225,54,249,26,395,0,,8,270,90,280,*,108.5,11,208,67,390,9,450,*,155,95,380,0,,185,345
2017-09,Metro,5024,8,227.5,55,280,8,360,*,795,*,285,75,280,*,160,*,400,39,400,19,510,*,285,65,410,0,,135,350
2017-09,Metro,5025,*,150,7,300,*,420,0,,*,284,10,300,0,,*,300,18,415,*,470,7,350,35,390,0,,45,355
2017-09,Metro,5031,*,235,18,282.5,6,328,0,,*,160,30,280,*,197.5,14,367.5,44,415,7,550,11,250,80,400,*,138,110,380
2017-09,Metro,5032,9,220,46,265,6,350,0,,11,240,70,260,*,350,8,340,34,400,10,567.5,*,350,55,397.5,0,,125,317.5
2017-09,Metro,5033,6,183,24,265,7,360,0,,*,250,40,257.5,*,145,*,305,41,380,9,420,10,330,70,350,*,125,115,319
2017-09,Metro,5034,8,232.5,46,297.5,17,440,0,,*,290,75,300,0,,18,397.5,18,425,6,477.5,7,550,50,450,*,150,125,335
2017-09,Metro,5035,6,242.5,31,280,6,350,*,400,*,287.5,50,280,0,,7,380,13,430,*,450,0,,25,400,*,172.5,75,300
2017-09,Metro,5037,20,225,32,285,0,,0,,8,272.5,60,267.5,*,167.5,9,340,37,380,8,395,*,272.5,60,365,*,182.5,125,300
2017-09,Metro,5038,16,200,98,280,7,330,0,,14,275,135,280,0,,16,350,73,395,11,480,8,335,110,390,*,135.35,245,320
2017-09,Metro,5039,*,245,15,270,*,377.5,0,,*,168.575,25,270,*,235,8,258.75,35,385,7,430,*,325,55,375,*,165,85,340
2017-09,Metro,5040,0,,0,,0,,0,,0,,0,,0,,0,,6,477.5,0,,0,,5,477.5,0,,5,477.5
2017-09,Metro,5041,8,250,29,270,*,367.5,*,420,0,,40,267.5,0,,*,290,22,400,9,610,*,375,35,417.5,0,,75,325
2017-09,Metro,5042,*,220,47,250,*,265,0,,*,312.5,60,250,*,150,*,340,39,390,8,420,8,400,60,395,*,155,120,300
2017-09,Metro,5043,8,158.5,51,280,17,340,0,,*,280,80,280,0,,13,288,105,390,10,480,18,273.9,145,382.5,*,142.5,225,345
2017-09,Metro,5044,8,242.5,29,290,*,350,0,,*,320,40,290,0,,*,387.5,34,495,*,517.5,*,400,45,480,*,150,85,352.5
2017-09,Metro,5045,62,260,150,320,42,460,*,520,10,265,265,310,*,170,14,360,32,450,10,760,*,360,65,430,*,157.5,330,335
2017-09,Metro,5046,*,217.5,36,300,*,365,0,,*,155,45,300,*,165,11,330,59,415,*,475,*,450,80,410,*,147.5,130,350
2017-09,Metro,5047,*,245,*,285,*,430,0,,*,225,5,285,0,,6,360,48,400,*,447.5,7,340,65,395,*,147.5,75,395
2017-09,Metro,5048,*,185,38,300,*,400,0,,0,,50,300,0,,7,380,41,410,17,495,*,244.2,70,420,*,175,115,380
2017-09,Metro,5049,*,190,16,272.5,*,340,*,700,*,310,30,277.5,0,,*,350,31,400,11,420,*,375,45,400,*,177.5,80,360
2017-09,Metro,5050,*,280,*,262.5,0,,0,,0,,*,270,6,205,*,280,8,340,*,445,0,,20,320,*,145,25,290
2017-09,Metro,5051,*,175,7,275,*,321.5,0,,*,290,10,275,0,,*,340,12,405,11,610,0,,25,465,0,,35,380
2017-09,Metro,5052,0,,0,,0,,0,,*,100,*,100,0,,0,,6,427.5,6,455,0,,10,427.5,0,,15,412.5
2017-09,Metro,5061,8,270,25,325,9,500,0,,*,295,45,350,0,,*,350,22,619,10,825,*,690,35,640,*,190,80,432.5
2017-09,Metro,5062,*,225,31,285,*,457.5,0,,*,375,40,285,0,,*,340,20,430,15,650,*,425,45,450,0,,80,350
2017-09,Metro,5063,17,255,45,320,7,480,*,675,13,285,85,315,*,587.5,18,382.5,37,500,7,595,*,225,70,450,14,165,165,350
2017-09,Metro,5064,6,194,17,345,*,435,*,610,*,302.5,30,340,0,,*,395,19,450,14,737.5,*,600,35,500,0,,65,410
2017-09,Metro,5065,23,260,44,300,*,510,*,340,*,187.5,75,290,0,,*,465,11,530,11,635,*,330,25,535,0,,100,312.5
2017-09,Metro,5066,*,250,12,315,0,,0,,*,330,15,310,0,,*,357.5,27,450,16,667.5,*,400,50,477.5,0,,65,450
2017-09,Metro,5067,30,230,61,325,20,470,*,740,*,350,115,315,*,325,17,400,31,485,9,710,*,200,60,465,28,200,205,340
2017-09,Metro,5068,10,240,71,300,8,400,*,650,8,267.5,100,300,*,142.5,11,380,23,480,12,620,*,165,55,415,0,,150,320
2017-09,Metro,5069,11,230,42,292.5,10,432.5,0,,*,175,65,290,*,210,8,372.5,16,470,*,850,*,190,30,420,0,,95,300
2017-09,Metro,5070,14,232.5,80,282.5,7,340,0,,10,279.51,110,280,*,130,*,400,47,410,9,500,19,208.8,80,382.5,*,165,190,300
2017-09,Metro,5071,0,,0,,*,570,0,,0,,*,570,0,,0,,0,,0,,0,,0,,0,,*,570
2017-09,Metro,5072,*,177.5,32,297.5,7,300,0,,0,,45,300,*,135,8,300,42,392.5,14,517.5,*,350,70,392.5,*,135,115,330
2017-09,Metro,5073,*,255,28,277.5,6,382.5,*,235,*,280,40,280,0,,6,340,59,375,18,425,*,330,85,375,0,,125,350
2017-09,Metro,5074,*,225,30,267.5,6,385,0,,6,260,45,265,*,164.38,6,242.5,66,360,12,427.5,8,325,95,350,*,177.5,145,320
2017-09,Metro,5075,0,,9,270,*,280,*,430,*,285,20,277.5,0,,*,280,36,350,8,397.5,9,330,55,350,0,,75,347.5
2017-09,Metro,5076,0,,*,287.5,*,340,*,385,*,295,5,305,0,,*,350,25,365,*,460,6,320,40,350,0,,45,350
2017-09,Metro,5081,29,260,61,365,*,470,*,700,*,280,100,344,*,170,6,367.5,21,460,13,650,*,380,50,465,*,180,150,367
2017-09,Metro,5082,15,250,68,315,*,325,*,507.5,*,280,95,290,*,262.5,19,320,64,375,12,432.5,19,440,120,375,*,195,215,340
2017-09,Metro,5083,*,260,30,292.5,*,320,0,,*,270,35,290,0,,11,330,25,385,*,465,7,330,45,362.5,*,175,85,320
2017-09,Metro,5084,0,,26,255,*,290,0,,*,300,35,260,6,130,9,255,61,335,7,430,15,300,100,312.5,0,,130,299.5
2017-09,Metro,5085,*,225,23,245,7,365,0,,*,250,35,250,*,195,18,292.5,117,360,19,455,19,300,175,345,*,127.5,215,330
2017-09,Metro,5086,7,185,27,260,11,340,0,,*,270,50,261,*,215,*,272.325,110,370,18,385,*,190,140,370,*,125,190,350
2017-09,Metro,5087,*,220,34,257.5,6,317.5,0,,*,150,50,255,0,,8,305,53,360,9,475,9,320,80,350,*,170,130,320
2017-09,Metro,5088,0,,*,257.5,0,,0,,0,,*,257.5,0,,*,300,32,350,*,360,*,300,45,350,0,,45,350
2017-09,Metro,5089,0,,*,395,*,300,0,,*,200,*,300,0,,0,,21,350,*,420,0,,25,355,0,,25,352.5
2017-09,Metro,5090,0,,10,270,*,330,0,,*,230,10,270,*,225,*,280,27,360,*,450,6,345,40,350,0,,50,335
2017-09,Metro,5091,*,210,*,265,*,390,0,,*,390,10,227.5,0,,0,,16,350,*,405,*,330,20,350,0,,30,340
2017-09,Metro,5092,*,175,20,280,*,315,0,,0,,25,277.5,*,180,*,272.5,83,330,12,410,6,270,110,330,0,,130,320
2017-09,Metro,5093,0,,8,255,0,,0,,6,250,15,250,*,150,0,,34,347.5,7,390,*,325,50,340,0,,65,322.5
2017-09,Metro,5094,*,205,*,260,0,,0,,0,,*,205,0,,*,260,6,357.5,0,,0,,10,340,0,,10,330
2017-09,Metro,5095,7,250,93,310,64,340,*,295,8,292.5,175,310,*,170,14,320,132,365,22,450,6,247.5,175,360,*,170,355,330
2017-09,Metro,5096,*,185,*,275,*,315,0,,*,305,10,277.5,*,125,6,265,46,320,6,422.5,*,300,65,320,*,160,75,305
2017-09,Metro,5097,0,,16,280,7,335,0,,0,,25,285,0,,0,,36,345,11,370,7,350,55,350,0,,75,335
2017-09,Metro,5098,*,237.5,*,215,*,262.5,0,,0,,5,235,*,250,*,240,67,330,*,495,*,290,80,330,*,145,85,320
2017-09,Metro,5107,0,,*,275,*,320,0,,0,,5,310,0,,6,242.5,76,305,15,350,12,305,110,310,0,,115,310
2017-09,Metro,5108,13,144.5,66,220,39,300,0,,15,195,135,230,*,182,26,267.5,193,300,33,350,38,300,290,300,0,,425,290
